row_label_raw,row_label_full,Các bên liên quan,Giao dịch,Cho năm tài chính kết thúc ngày 31/12/2021 VND,Cho năm tài chính kết thúc ngày 31/12/2020 VND,numeric__Giao dịch,numeric__Cho năm tài chính kết thúc ngày 31/12/2021 VND,numeric__Cho năm tài chính kết thúc ngày 31/12/2020 VND
Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,,,
Bộ Tài chính,Cổ đông sáng lập > Bộ Tài chính,Bộ Tài chính,Cổ tức đã trả,(433.535.055.300),(386.007.840.000),,-433535055300.0,-386007840000.0
SCIC,Cổ đông sáng lập > SCIC,SCIC,Cổ tức đã trả,(19.905.728.400),(17.723.520.000),,-19905728400.0,-17723520000.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,,,
Sumitomo Life,Sumitomo Life,Sumitomo Life,Cổ tức đã trảDoanh thu cho thuê văn phòngChi phí dự án Hồ trợ và Chuyển giao Năng lựcKỹ thuật,(147.304.960.768)583.244.408-,(131.156.336.800)577.039.680(2.028.308.286),,,
"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,
Tokio Marine Việt Nam,"Công ty liên doanh, liên kết > Tokio Marine Việt Nam",Tokio Marine Việt Nam,Cổ tức được chiaPhí quản lý quỹ,52.811.609.061463.189.321,38.098.894.254410.270.277,,5.281160906146319e+19,3.809889425441027e+19
Bảo Việt Bank,Bảo Việt Bank,Bảo Việt Bank,"Doanh thu dịch vụ CNTTDoanh thu lãi tiền gửiDoanh thu lãi trái phiếuDoanh thu cho thuê trụ sở làm việc, phí quản lýtòa nhà, phí giữ xeChi phí repo, lãi trái phiếuphát hành và lãi vay",3.467.610.120407.058.328.11398.009.999.9986.528.815.205(73.806.135.379),3.504.469.437972.548.380.432110.617.012.0049.492.719.625(203.943.551.484),,,
