row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,
Bảo hiểm hỗn hợp,Bảo hiểm nhân thọ > Bảo hiểm hỗn hợp,Bảo hiểm hỗn hợp,7.352.960.463.594,7.905.465.382.063,7352960463594.0,7905465382063.0
Bảo hiểm liên kết chung,Bảo hiểm nhân thọ > Bảo hiểm liên kết chung,Bảo hiểm liên kết chung,21.858.697.627.025,18.709.816.640.956,21858697627025.0,18709816640956.0
Các sản phẩm bảo hiểm nhân thọ khác,Bảo hiểm nhân thọ > Các sản phẩm bảo hiểm nhân thọ khác,Các sản phẩm bảo hiểm nhân thọ khác,1.345.903.254.996,1.422.365.215.821,1345903254996.0,1422365215821.0
Tổng doanh thu bảo hiểm nhân thọ,Bảo hiểm nhân thọ > Tổng doanh thu bảo hiểm nhân thọ,Tổng doanh thu bảo hiểm nhân thọ,30.557.561.345.615,28.037.647.238.840,30557561345615.0,28037647238840.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,
Bảo hiểm trách nhiệm,Bảo hiểm phi nhân thọ > Bảo hiểm trách nhiệm,Bảo hiểm trách nhiệm,955.331.731.670,1.046.875.784.644,955331731670.0,1046875784644.0
Bảo hiểm tài sản,Bảo hiểm phi nhân thọ > Bảo hiểm tài sản,Bảo hiểm tài sản,3.885.994.748.915,4.251.635.290.776,3885994748915.0,4251635290776.0
Bảo hiểm con người,Bảo hiểm phi nhân thọ > Bảo hiểm con người,Bảo hiểm con người,4.104.720.313.670,4.390.842.096.726,4104720313670.0,4390842096726.0
Tổng doanh thu bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ > Tổng doanh thu bảo hiểm phi nhân thọ,Tổng doanh thu bảo hiểm phi nhân thọ,8.946.046.794.255,9.689.353.172.146,8946046794255.0,9689353172146.0
Tổng doanh thu bảo hiểm,Bảo hiểm phi nhân thọ > Tổng doanh thu bảo hiểm,Tổng doanh thu bảo hiểm,39.503.608.139.870,37.727.000.410.986,39503608139870.0,37727000410986.0
