row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thặng dưvốn cổ phầnVND,Chênh lệchtỷ giá hồi doái (*)VND,Quỹ đầu tưphát triển vàdự phòng tài chínhVND,Quỹ khác thuộc vốnchủ sở hữu (**)VND,Lợi nhuậnsau thuếchưa phân phốiVND,Quỹ dự trữbắt buộc hoạt độngbảo hiểmVND,Lợi ích cổ đôngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Chênh lệchtỷ giá hồi doái (*)VND,numeric__Quỹ đầu tưphát triển vàdự phòng tài chínhVND,numeric__Quỹ khác thuộc vốnchủ sở hữu (**)VND,numeric__Lợi nhuậnsau thuếchưa phân phốiVND,numeric__Quỹ dự trữbắt buộc hoạt độngbảo hiểmVND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__Tổng cộngVND
Tại ngày 01 tháng 01năm 2021,Tại ngày 01 tháng 01năm 2021,Tại ngày 01 tháng 01năm 2021,7.423.227.640.000,7.310.458.742.807,15.445.192.000,967.358.385.620,103.568.802.818,3.723.310.113.726(666.977.003.454),523.523.906.834,754.873.257.039,20.821.766.040.844(666.977.003.454),7423227640000.0,7310458742807.0,15445192000.0,967358385620.0,103568802818.0,,523523906834.0,754873257039.0,
Cổ tức chia cho cổ đông,Cổ tức chia cho cổ đông,Cổ tức chia cho cổ đông,-,-,-,-,-,(101.508.383.562),-,(2.273.281.014),(103.781.664.576),,,,,,-101508383562.0,,-2273281014.0,-103781664576.0
Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,-,-,-,-,-,(41.190.589.002),-,-,(41.190.589.002),,,,,,-41190589002.0,,,-41190589002.0
Của công ty mẹ (***),Của công ty mẹ (***),Của công ty mẹ (***),-,-,-,-,-,(60.317.794.560),-,(2.273.281.014),(62.591.075.574),,,,,,-60317794560.0,,-2273281014.0,-62591075574.0
Của các công ty con,Của các công ty con,Của các công ty con,-,-,-,-,-,(303.514.675.133),-,-,-,,,,,,-303514675133.0,,,
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,303.514.675.133,-,(303.514.675.133),-,-,-,,,,303514675133.0,,-303514675133.0,,,
Của công ty mẹ (***),Của công ty mẹ (***),Của công ty mẹ (***),-,-,-,303.514.675.133,-,(303.514.675.133),-,-,-,,,,303514675133.0,,-303514675133.0,,,
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,-,1.896.699.438.352,-,106.719.751.030,2.003.419.189.382,,,,,,1896699438352.0,,106719751030.0,2003419189382.0
Chi trả thủ lao Hội đồngThành viên và Ban Kiểmsoat của các Công ty con,Chi trả thủ lao Hội đồngThành viên và Ban Kiểmsoat của các Công ty con,Chi trả thủ lao Hội đồngThành viên và Ban Kiểmsoat của các Công ty con,-,-,-,-,-,(1.289.450.004),-,-,(1.289.450.004),,,,,,-1289450004.0,,,-1289450004.0
Trích lập các quỹ dự trữ,Trích lập các quỹ dự trữ,Trích lập các quỹ dự trữ,-,-,-,13.913.079.542,-,(68.008.094.081),54.095.014.539,-,-,,,,13913079542.0,,-68008094081.0,54095014539.0,,
Cổ tức chia cho cổ đôngkhông kiểm soát,Cổ tức chia cho cổ đôngkhông kiểm soát,Cổ tức chia cho cổ đôngkhông kiểm soát,-,-,-,-,-,-,-,(23.135.161.600),(23.135.161.600),,,,,,,,-23135161600.0,-23135161600.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(3.271.586.207),-,-,(3.271.586.207),,,,,,-3271586207.0,,,-3271586207.0
Tại ngày 31 tháng 12năm 2021,Tại ngày 31 tháng 12năm 2021,Tại ngày 31 tháng 12năm 2021,7.423.227.640.000,7.310.458.742.807,15.445.192.000,1.284.786.140.295,103.568.802.818,4.475.440.359.637,577.618.921.373,836.184.565.455,22.026.730.364.385,7423227640000.0,7310458742807.0,15445192000.0,1284786140295.0,103568802818.0,4475440359637.0,577618921373.0,836184565455.0,22026730364385.0
