row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021,Giá trị ghi số > Nguyên giá,Giá trị ghi số > Dự phòng giảm giá trị,Giá trị ghi số > Giá trị thuần,Đơn vị: triệu VND > Giá trị hợp lý,numeric__Giá trị ghi số > Nguyên giá,numeric__Giá trị ghi số > Dự phòng giảm giá trị,numeric__Giá trị ghi số > Giá trị thuần,numeric__Đơn vị: triệu VND > Giá trị hợp lý
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,145.655.534,(1.292.352),144.363.182,162.051.614,145655534.0,-1292352.0,144363182.0,162051614.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,90.352.543,(442.600),89.909.943,90.287.953,90352543.0,-442600.0,89909943.0,90287953.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,55.302.991,(849.752),54.453.239,71.763.661,55302991.0,-849752.0,54453239.0,71763661.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,2.842.450,(46.213),2.796.237,4.302.085,2842450.0,-46213.0,2796237.0,4302085.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,1.915.619,(8.593),1.907.026,3.312.266,1915619.0,-8593.0,1907026.0,3312266.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,79.333,(37.601),41.732,42.868,79333.0,-37601.0,41732.0,42868.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,247.372,(19),247.353,491.524,247372.0,-19.0,247353.0,491524.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,600.126,-,600.126,455.427,600126.0,,600126.0,455427.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,761.152,(42.683),718.469,1.647.415,761152.0,-42683.0,718469.0,1647415.0
Cho vay và tạm ứng cho khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng cho khách hàng,Cho vay và tạm ứng cho khách hàng,6.106.012,(55.640),6.050.372,6.050.372,6106012.0,-55640.0,6050372.0,6050372.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,918.787,(258.887),659.900,673.711,918787.0,-258887.0,659900.0,673711.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,305.090,(11.092),293.998,293.996,305090.0,-11092.0,293998.0,293996.0
Tài sản tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,2.148.982,-,2.148.982,2.148.982,2148982.0,,2148982.0,2148982.0
Phải thu khác,TÀI SẢN TÀI CHÍNH > Phải thu khác,Phải thu khác,606.806,(89.100),517.706,517.706,606806.0,-89100.0,517706.0,517706.0
"- Các khoản cảm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cảm cố, ký quỹ, ký cược","- Các khoản cảm cố, ký quỹ, ký cược",77.772,-,77.772,77.772,77772.0,,77772.0,77772.0
- Phải thu cổ tức,TÀI SẢN TÀI CHÍNH > - Phải thu cổ tức,- Phải thu cổ tức,8.666,-,8.666,8.666,8666.0,,8666.0,8666.0
- Khác,TÀI SẢN TÀI CHÍNH > - Khác,- Khác,520.368,(89.100),431.268,431.268,520368.0,-89100.0,431268.0,431268.0
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5.354.092,-,5.354.092,5.354.092,5354092.0,,5354092.0,5354092.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,164.698.905,(1.795.967),162.902.938,183.039.973,164698905.0,-1795967.0,162902938.0,183039973.0
