row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2021,Giá trị ghi số > Ngày 31 tháng 12 năm 2021,Đơn vị: triệu VNDGiá trị hợp lý > Ngày 31 tháng 12 năm 2021,numeric__Giá trị ghi số > Ngày 31 tháng 12 năm 2021,numeric__Đơn vị: triệu VNDGiá trị hợp lý > Ngày 31 tháng 12 năm 2021
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,
Nghĩa vụ nợ theo hợp đồng bảo hiểm,Nợ phải trả tài chính > Nghĩa vụ nợ theo hợp đồng bảo hiểm,Nghĩa vụ nợ theo hợp đồng bảo hiểm,120.379.033,120.379.033,120379033.0,120379033.0
Phải trả hoạt động bảo hiểm gốc,Nợ phải trả tài chính > Phải trả hoạt động bảo hiểm gốc,Phải trả hoạt động bảo hiểm gốc,1.346.112,1.346.112,1346112.0,1346112.0
Phải trả tái bảo hiểm,Nợ phải trả tài chính > Phải trả tái bảo hiểm,Phải trả tái bảo hiểm,993.492,993.492,993492.0,993492.0
Các nghĩa vụ nợ tài chính khác,Nợ phải trả tài chính > Các nghĩa vụ nợ tài chính khác,Các nghĩa vụ nợ tài chính khác,16.439.558,16.439.558,16439558.0,16439558.0
- Nhận ký quỹ,Nợ phải trả tài chính > - Nhận ký quỹ,- Nhận ký quỹ,263.474,263.474,263474.0,263474.0
- Khác,Nợ phải trả tài chính > - Khác,- Khác,16.176.084,16.176.084,16176084.0,16176084.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,139.158.195,139.158.195,139158195.0,139158195.0
Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,
Nghĩa vụ nợ theo hợp đồng bảo hiểm,Nợ phải trả tài chính > Nghĩa vụ nợ theo hợp đồng bảo hiểm,Nghĩa vụ nợ theo hợp đồng bảo hiểm,100.166.026,100.166.026,100166026.0,100166026.0
Phải trả hoạt động bảo hiểm gốc,Nợ phải trả tài chính > Phải trả hoạt động bảo hiểm gốc,Phải trả hoạt động bảo hiểm gốc,1.313.552,1.313.552,1313552.0,1313552.0
Phải trả tái bảo hiểm,Nợ phải trả tài chính > Phải trả tái bảo hiểm,Phải trả tái bảo hiểm,1.338.293,1.338.293,1338293.0,1338293.0
Các nghĩa vụ nợ tài chính khác,Nợ phải trả tài chính > Các nghĩa vụ nợ tài chính khác,Các nghĩa vụ nợ tài chính khác,15.292.402,15.292.402,15292402.0,15292402.0
- Nhận ký quỹ,Nợ phải trả tài chính > - Nhận ký quỹ,- Nhận ký quỹ,246.647,246.647,246647.0,246647.0
- Khác,Nợ phải trả tài chính > - Khác,- Khác,15.045.755,15.045.755,15045755.0,15045755.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,118.110.273,118.110.273,118110273.0,118110273.0
