row_label_raw,row_label_full,col_0,Trách nhiệm theo các hợp đồng bảo hiểm và đầu tư có cấu phần không đảm bảo,Trách nhiệm theo các hợp đồng bảo hiểm không có cấu phần không đảm bảo,Đơn vị: triệu VND,numeric__Trách nhiệm theo các hợp đồng bảo hiểm và đầu tư có cấu phần không đảm bảo,numeric__Trách nhiệm theo các hợp đồng bảo hiểm không có cấu phần không đảm bảo,numeric__Đơn vị: triệu VND
,,,Trách nhiệm theo các hợp đồng bảo hiểm và đầu tư có cấu phần không đảm bảo,Trách nhiệm theo các hợp đồng bảo hiểm không có cấu phần không đảm bảo,Tổng,,,
Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,,,
Điều khoản riêng,Ngày 31 tháng 12 năm 2021 > Điều khoản riêng,Điều khoản riêng,355,610.578,610.933,355.0,610578.0,610933.0
Trọn đời,Ngày 31 tháng 12 năm 2021 > Trọn đời,Trọn đời,90.309,-,90.309,90309.0,,90309.0
Từ kỳ,Ngày 31 tháng 12 năm 2021 > Từ kỳ,Từ kỳ,-,11.271,11.271,,11271.0,11271.0
Hỗn hợp,Ngày 31 tháng 12 năm 2021 > Hỗn hợp,Hỗn hợp,22.282.886,25.678.384,47.961.270,22282886.0,25678384.0,47961270.0
Liên kết chung,Ngày 31 tháng 12 năm 2021 > Liên kết chung,Liên kết chung,-,67.300.818,67.300.818,,67300818.0,67300818.0
Niên kim,Ngày 31 tháng 12 năm 2021 > Niên kim,Niên kim,1.374.269,-,1.374.269,1374269.0,,1374269.0
Hưu trí,Ngày 31 tháng 12 năm 2021 > Hưu trí,Hưu trí,-,861.435,861.435,,861435.0,861435.0
Bảo hiểm sức khỏe,Ngày 31 tháng 12 năm 2021 > Bảo hiểm sức khỏe,Bảo hiểm sức khỏe,-,3.818,3.818,,3818.0,3818.0
Tổng cộng,Ngày 31 tháng 12 năm 2021 > Tổng cộng,Tổng cộng,23.747.819,94.466.304,118.214.123,23747819.0,94466304.0,118214123.0
Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,,,
Điều khoản riêng,Ngày 31 tháng 12 năm 2020 > Điều khoản riêng,Điều khoản riêng,439,535.593,536.032,439.0,535593.0,536032.0
Trọn đời,Ngày 31 tháng 12 năm 2020 > Trọn đời,Trọn đời,89.177,-,89.177,89177.0,,89177.0
Từ kỳ,Ngày 31 tháng 12 năm 2020 > Từ kỳ,Từ kỳ,-,11.177,11.177,,11177.0,11177.0
Hỗn hợp,Ngày 31 tháng 12 năm 2020 > Hỗn hợp,Hỗn hợp,19.089.556,23.879.914,42.969.470,19089556.0,23879914.0,42969470.0
Liên kết chung,Ngày 31 tháng 12 năm 2020 > Liên kết chung,Liên kết chung,-,52.312.900,52.312.900,,52312900.0,52312900.0
Niên kim,Ngày 31 tháng 12 năm 2020 > Niên kim,Niên kim,1.180.743,-,1.180.743,1180743.0,,1180743.0
Hưu trí,Ngày 31 tháng 12 năm 2020 > Hưu trí,Hưu trí,-,738.757,738.757,,738757.0,738757.0
Khác,Ngày 31 tháng 12 năm 2020 > Khác,Khác,-,2.892,2.892,,2892.0,2892.0
Tổng cộng,Ngày 31 tháng 12 năm 2020 > Tổng cộng,Tổng cộng,20.359.915,77.481.233,97.841.148,20359915.0,77481233.0,97841148.0
