row_label_raw,row_label_full,CHỈ TIÊU,Ngày 31 tháng 12năm 2021,Ngày 31 tháng 12năm 2020,numeric__Ngày 31 tháng 12năm 2021,numeric__Ngày 31 tháng 12năm 2020
1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),236.054.619.347,215.722.244.159,236054619347.0,215722244159.0
2. Nợ khó đòi đã xử lý (VND),2. Nợ khó đòi đã xử lý (VND),2. Nợ khó đòi đã xử lý (VND),7.436.521.813,7.436.521.813,7436521813.0,7436521813.0
3. Ngoại tệ (USD),3. Ngoại tệ (USD),3. Ngoại tệ (USD),1.171.625,941.499,1171625.0,941499.0
4. Chứng khoán lưu ký (VND),4. Chứng khoán lưu ký (VND),4. Chứng khoán lưu ký (VND),34.102.970.363.000,29.420.061.882.810,34102970363000.0,29420061882810.0
5. Chứng khoán chưa lưu ký (VND),5. Chứng khoán chưa lưu ký (VND),5. Chứng khoán chưa lưu ký (VND),2.706.091.656.767,2.767.950.787.600,2706091656767.0,2767950787600.0
6. Tiền gửi của nhà đầu tư ủy thác (VND),6. Tiền gửi của nhà đầu tư ủy thác (VND),6. Tiền gửi của nhà đầu tư ủy thác (VND),1.516.974.651.605,1.175.873.185.276,1516974651605.0,1175873185276.0
7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),251.490.246.497,247.873.383.596,251490246497.0,247873383596.0
8. Các khoản phải thu của nhà đầu tư ủy thác (VND),8. Các khoản phải thu của nhà đầu tư ủy thác (VND),8. Các khoản phải thu của nhà đầu tư ủy thác (VND),6.799.606.027,7.034.397.261,6799606027.0,7034397261.0
9. Các khoản phải trả của nhà đầu tư ủy thác (VND),9. Các khoản phải trả của nhà đầu tư ủy thác (VND),9. Các khoản phải trả của nhà đầu tư ủy thác (VND),(1.520.185.203.590),(1.176.118.011.151),-1520185203590.0,-1176118011151.0
"10. Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)","10. Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)","10. Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)",2.769.739.252.317,2.424.552.722.009,2769739252317.0,2424552722009.0
