row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Bảo hiểm nhân thọ,Bảo hiểm phi nhân thọ,Hoạt động tài chính,Hoạt động bắt động sản và hoạt động khác,Các bút toán điều chỉnh hợp nhất,Tổng,numeric__Bảo hiểm nhân thọ,numeric__Bảo hiểm phi nhân thọ,numeric__Hoạt động tài chính,numeric__Hoạt động bắt động sản và hoạt động khác,numeric__Các bút toán điều chỉnh hợp nhất,numeric__Tổng
Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,30.547.590,9.452.073,-,-,(3.158),39.996.505,30547590.0,9452073.0,,,-3158.0,39996505.0
Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,(16.405),(4.087.792),-,-,-,(4.104.197),-16405.0,-4087792.0,,,,-4104197.0
Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,4.434,931.220,-,-,-,935.654,4434.0,931220.0,,,,935654.0
Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,30.535.619,6.295.501,-,-,(3.158),36.827.962,30535619.0,6295501.0,,,-3158.0,36827962.0
Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,(8.835.123),(3.912.721),-,-,-,(12.747.844),-8835123.0,-3912721.0,,,,-12747844.0
Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,-,(119.411),-,-,-,(119.411),,-119411.0,,,,-119411.0
Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,-,2.758,-,-,-,2.758,,2758.0,,,,2758.0
Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,3.476,1.719.791,-,-,-,1.723.267,3476.0,1719791.0,,,,1723267.0
Tăng dự phòng nghiệp vụ bảo hiểm gốc (Tăng)/Giảm dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Tăng dự phòng nghiệp vụ bảo hiểm gốc (Tăng)/Giảm dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Tăng dự phòng nghiệp vụ bảo hiểm gốc (Tăng)/Giảm dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,(20.353.645),(62.619),-,-,-,(20.416.264),-20353645.0,-62619.0,,,,-20416264.0
Tăng dự phòng nghiệp vụ bảo hiểm gốc (Tăng)/Giảm dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Tăng dự phòng nghiệp vụ bảo hiểm gốc (Tăng)/Giảm dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Tăng dự phòng nghiệp vụ bảo hiểm gốc (Tăng)/Giảm dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,(20.322),188.426,-,-,-,168.104,-20322.0,188426.0,,,,168104.0
Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,-,(71.423),-,-,-,(71.423),,-71423.0,,,,-71423.0
Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,-,(38.428),-,-,-,(38.428),,-38428.0,,,,-38428.0
Chi bồi thường từ quỹ dự phòng dao động lớn,Chi bồi thường từ quỹ dự phòng dao động lớn,Chi bồi thường từ quỹ dự phòng dao động lớn,-,-,-,-,-,-,,,,,,
Chi khác hoạt động kinh doanh bảo hiểm,Chi bồi thường từ quỹ dự phòng dao động lớn > Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,(1.939.526),(2.878.273),-,-,92.256,(4.725.543),-1939526.0,-2878273.0,,,92256.0,-4725543.0
Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Chi bồi thường từ quỹ dự phòng dao động lớn > Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,(31.145.140),(5.171.900),-,-,92.256,(36.224.784),-31145140.0,-5171900.0,,,92256.0,-36224784.0
Thu nhập thuần từ các hoạt động khác,Chi bồi thường từ quỹ dự phòng dao động lớn > Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,-,-,525.811,21.316,(473.700),73.427,,,525811.0,21316.0,-473700.0,73427.0
Chi phí bán hàng,Chi bồi thường từ quỹ dự phòng dao động lớn > Chi phí bán hàng,Chi phí bán hàng,(2.266.316),-,-,-,301,(2.266.015),-2266316.0,,,,301.0,-2266015.0
Chi phí quản lý doanh nghiệp,Chi bồi thường từ quỹ dự phòng dao động lớn > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(2.278.235),(1.337.324),(669.838),(19.560),306.958,(3.997.999),-2278235.0,-1337324.0,-669838.0,-19560.0,306958.0,-3997999.0
Lợi nhuận hoạt động tài chính,Chi bồi thường từ quỹ dự phòng dao động lớn > Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,6.205.203,457.518,2.019.945,6.275,(837.051),7.851.890,6205203.0,457518.0,2019945.0,6275.0,-837051.0,7851890.0
Lợi nhuận/(Lỗ) khác,Chi bồi thường từ quỹ dự phòng dao động lớn > Lợi nhuận/(Lỗ) khác,Lợi nhuận/(Lỗ) khác,34.069,8.707,(279),2.479,(25.962),19.014,34069.0,8707.0,-279.0,2479.0,-25962.0,19014.0
"Phần lợi nhuận trong công ty liên doanh, liên kết","Chi bồi thường từ quỹ dự phòng dao động lớn > Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết",-,-,-,-,92.994,92.994,,,,,92994.0,92994.0
Tổng lợi nhuận kế toán trước thuế,Chi bồi thường từ quỹ dự phòng dao động lớn > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,1.085.200,252.502,1.875.639,10.510,(847.362),2.376.489,1085200.0,252502.0,1875639.0,10510.0,-847362.0,2376489.0
