row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021,Chưa quá hạn và không giảm giá trị,Quá hạn nhưng không giảm giá trị riêng lẻ,Bị giảm giá trị riêng lẻ (*),Đơn vị: triệu VND Tổng,numeric__Chưa quá hạn và không giảm giá trị,numeric__Quá hạn nhưng không giảm giá trị riêng lẻ,numeric__Bị giảm giá trị riêng lẻ (*),numeric__Đơn vị: triệu VND Tổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5.354.092,-,-,5.354.092,5354092.0,,,5354092.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,594.968,60.837,4.096,659.901,594968.0,60837.0,4096.0,659901.0
Phải thu tái bảo hiểm,TÀI SẢN > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,273.992,16.409,3.596,293.997,273992.0,16409.0,3596.0,293997.0
Tài sản tái bảo hiểm,TÀI SẢN > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,2.148.982,-,-,2.148.982,2148982.0,,,2148982.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,86.438,-,-,86.438,86438.0,,,86438.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",77.772,-,-,77.772,77772.0,,,77772.0
- Phải thu cố tức,TÀI SẢN > - Phải thu cố tức,- Phải thu cố tức,8.666,-,-,8.666,8666.0,,,8666.0
Đầu tư nấm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nấm giữ đến ngày đáo hạn,Đầu tư nấm giữ đến ngày đáo hạn,144.538.181,-,(175.000),144.363.181,144538181.0,,-175000.0,144363181.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,89.909.942,-,-,89.909.942,89909942.0,,,89909942.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,54.628.239,-,(175.000),54.453.239,54628239.0,,-175000.0,54453239.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,600.126,-,-,600.126,600126.0,,,600126.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,600.126,-,-,600.126,600126.0,,,600126.0
Các khoản cho vay và tạm ứng cho khách hàng,TÀI SẢN > Các khoản cho vay và tạm ứng cho khách hàng,Các khoản cho vay và tạm ứng cho khách hàng,6.130.245,1.073,1.167,6.132.485,6130245.0,1073.0,1167.0,6132485.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,425.781,2.160,3.327,431.268,425781.0,2160.0,3327.0,431268.0
TỔNG CỘNG,TÀI SẢN > TỔNG CỘNG,TỔNG CỘNG,160.152.805,80.479,(162.814),160.070.470,160152805.0,80479.0,-162814.0,160070470.0
