row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Bảo hiểm nhân thọ,Bảo hiểm phi nhân thọ,Hoạt động tài chính,Hoạt động bắt động sản và hoạt động khác,Các bút toán điều chỉnh hợp nhất,Tổng,numeric__Bảo hiểm nhân thọ,numeric__Bảo hiểm phi nhân thọ,numeric__Hoạt động tài chính,numeric__Hoạt động bắt động sản và hoạt động khác,numeric__Các bút toán điều chỉnh hợp nhất,numeric__Tổng
Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,28.017.816,10.189.932,-,-,(2.857),38.204.891,28017816.0,10189932.0,,,-2857.0,38204891.0
Phi nhượng tái bảo hiểm,Phi nhượng tái bảo hiểm,Phi nhượng tái bảo hiểm,(15.431),(4.745.784),-,-,-,(4.761.215),-15431.0,-4745784.0,,,,-4761215.0
Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,8.656,1.071.712,-,-,-,1.080.368,8656.0,1071712.0,,,,1080368.0
Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,28.011.041,6.515.860,-,-,(2.857),34.524.044,28011041.0,6515860.0,,,-2857.0,34524044.0
Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,(7.495.755),(5.305.069),-,-,-,(12.800.824),-7495755.0,-5305069.0,,,,-12800824.0
Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,-,(132.653),-,-,-,(132.653),,-132653.0,,,,-132653.0
Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,-,3.180,-,-,-,3.180,,3180.0,,,,3180.0
Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,5.323,2.152.686,-,-,-,2.158.009,5323.0,2152686.0,,,,2158009.0
Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,(19.096.016),-,-,-,(27.185),(19.123.201),-19096016.0,,,,-27185.0,-19123201.0
Giảm dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Giảm dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,Giảm dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,33.269,309.659,-,-,-,342.928,33269.0,309659.0,,,,342928.0
Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,-,(152.814),-,-,-,(152.814),,-152814.0,,,,-152814.0
Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,-,(115.350),-,-,73.878,(41.472),,-115350.0,,,73878.0,-41472.0
Thu bồi thường từ quỹ dự phòng dao động lớn,Thu bồi thường từ quỹ dự phòng dao động lớn,Thu bồi thường từ quỹ dự phòng dao động lớn,-,72.000,-,-,(46.693),25.307,,72000.0,,,-46693.0,25307.0
Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,(1.998.176),(2.569.358),-,-,90.273,(4.477.261),-1998176.0,-2569358.0,,,90273.0,-4477261.0
Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,(28.551.355),(5.737.719),-,-,90.273,(34.198.801),-28551355.0,-5737719.0,,,90273.0,-34198801.0
Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,-,-,461.762,20.842,(467.251),15.353,,,461762.0,20842.0,-467251.0,15353.0
