row_label_raw,row_label_full,col_0,Thuyết minh,Cho năm tài chính kết thúc ngày 31/12/2021 VND,Cho năm tài chính kết thúc ngày 31/12/2020 VND,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31/12/2021 VND,numeric__Cho năm tài chính kết thúc ngày 31/12/2020 VND
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,18.1,522.610.802.337,519.549.787.848,181.0,522610802337.0,519549787848.0
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,4.434.198.587,8.656.033.413,,4434198587.0,8656033413.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,527.045.000.924,528.205.821.261,,527045000924.0,528205821261.0
