row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2021VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2021VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND
Chi phí quản lý doanh nghiệp liênquan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liênquan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liênquan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liênquan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liênquan trực tiếp đến hoạt động bảo hiểm,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp liênquan trực tiếp đến hoạt động bảo hiểm > Chi phí nhân công,Chi phí nhân công,2.188.965.577.062,1.821.319.917.044,2188965577062.0,1821319917044.0
"Chi phí nguyên liệu, vật liệu","Chi phí quản lý doanh nghiệp liênquan trực tiếp đến hoạt động bảo hiểm > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",171.763.887.540,230.251.922.035,171763887540.0,230251922035.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp liênquan trực tiếp đến hoạt động bảo hiểm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,69.211.684.900,66.870.434.546,69211684900.0,66870434546.0
Thuế và chi phí lệ phí,Chi phí quản lý doanh nghiệp liênquan trực tiếp đến hoạt động bảo hiểm > Thuế và chi phí lệ phí,Thuế và chi phí lệ phí,25.217.653.522,20.281.754.340,25217653522.0,20281754340.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp liênquan trực tiếp đến hoạt động bảo hiểm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,526.819.743.054,657.232.125.145,526819743054.0,657232125145.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp liênquan trực tiếp đến hoạt động bảo hiểm > Chi phí dự phòng,Chi phí dự phòng,12.976.357.399,23.414.810.127,12976357399.0,23414810127.0
Chi phí khác,Chi phí quản lý doanh nghiệp liênquan trực tiếp đến hoạt động bảo hiểm > Chi phí khác,Chi phí khác,333.645.524.106,358.000.582.404,333645524106.0,358000582404.0
,,,3.328.600.427.583,3.177.371.545.641,3328600427583.0,3177371545641.0
Chi phí quản lý doanh nghiệp liênquan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liênquan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liênquan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liênquan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liênquan đến các lĩnh vực khác,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp liênquan đến các lĩnh vực khác > Chi phí nhân công,Chi phí nhân công,314.081.082.760,227.941.153.988,314081082760.0,227941153988.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp liênquan đến các lĩnh vực khác > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,121.011.745.918,109.655.787.532,121011745918.0,109655787532.0
Thuế và chi phí lệ phí,Chi phí quản lý doanh nghiệp liênquan đến các lĩnh vực khác > Thuế và chi phí lệ phí,Thuế và chi phí lệ phí,19.230.090.887,15.322.486.862,19230090887.0,15322486862.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp liênquan đến các lĩnh vực khác > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,152.994.110.371,155.977.704.145,152994110371.0,155977704145.0
(Hoàn nhập)/Chi phí dự phòng,Chi phí quản lý doanh nghiệp liênquan đến các lĩnh vực khác > (Hoàn nhập)/Chi phí dự phòng,(Hoàn nhập)/Chi phí dự phòng,(18.801.030.152),456.733.500,-18801030152.0,456733500.0
Chi phí khác,Chi phí quản lý doanh nghiệp liênquan đến các lĩnh vực khác > Chi phí khác,Chi phí khác,80.882.249.994,69.792.062.940,80882249994.0,69792062940.0
,,,669.398.249.778,579.145.928.967,669398249778.0,579145928967.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp liênquan đến các lĩnh vực khác > TỔNG CỘNG,TỔNG CỘNG,3.997.998.677.361,3.756.517.474.608,3997998677361.0,3756517474608.0
