row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2021VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2021VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2020VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,
Chi trả đáo hạn,Bảo hiểm nhân thọ > Chi trả đáo hạn,Chi trả đáo hạn,2.271.480.012.204,1.952.395.201.219,2271480012204.0,1952395201219.0
Chi giá trị hoàn lại,Bảo hiểm nhân thọ > Chi giá trị hoàn lại,Chi giá trị hoàn lại,4.606.142.065.759,3.913.649.673.687,4606142065759.0,3913649673687.0
Chi trả quyền lợi bảo hiểm rủi ro và chi trảkhác theo hợp đồng bảo hiểm,Bảo hiểm nhân thọ > Chi trả quyền lợi bảo hiểm rủi ro và chi trảkhác theo hợp đồng bảo hiểm,Chi trả quyền lợi bảo hiểm rủi ro và chi trảkhác theo hợp đồng bảo hiểm,1.957.500.616.094,1.629.710.259.893,1957500616094.0,1629710259893.0
,,,8.835.122.694.057,7.495.755.134.799,8835122694057.0,7495755134799.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,
Bảo hiểm trách nhiệm,Bảo hiểm phi nhân thọ > Bảo hiểm trách nhiệm,Bảo hiểm trách nhiệm,212.068.718.291,327.072.625.688,212068718291.0,327072625688.0
Bảo hiểm tài sản,Bảo hiểm phi nhân thọ > Bảo hiểm tài sản,Bảo hiểm tài sản,1.811.032.556.817,2.712.609.157.063,1811032556817.0,2712609157063.0
Bảo hiểm con người,Bảo hiểm phi nhân thọ > Bảo hiểm con người,Bảo hiểm con người,1.889.620.453.303,2.265.387.016.799,1889620453303.0,2265387016799.0
,,,3.912.721.728.411,5.305.068.799.550,3912721728411.0,5305068799550.0
TỔNG CỘNG,Bảo hiểm phi nhân thọ > TỔNG CỘNG,TỔNG CỘNG,12.747.844.422.468,12.800.823.934.349,12747844422468.0,12800823934349.0
