row_label_raw,row_label_full,col_0,Dự phòng toán học VND,Dự phòng phí chưa được hưởng VND,Dự phòng bởi thường VND,Dự phòng chia lãi VND,Dự phòng lãi cam kết đầu tư tối thiểu VND,Dự phòng đảm bảo cần đối VND,Dự phòng dao động lớn VND,Tổng cộng VND,numeric__Dự phòng toán học VND,numeric__Dự phòng phí chưa được hưởng VND,numeric__Dự phòng bởi thường VND,numeric__Dự phòng chia lãi VND,numeric__Dự phòng lãi cam kết đầu tư tối thiểu VND,numeric__Dự phòng đảm bảo cần đối VND,numeric__Dự phòng dao động lớn VND,numeric__Tổng cộng VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,,,,,,,
Ngày 31/12/2020,Bảo hiểm nhân thọ > Ngày 31/12/2020,Ngày 31/12/2020,93.090.719.199.763,201.174.810.274,65.908.852.003,1.935.346.562.096,2.547.998.489.076,106.535.697.100,-,97.947.683.610.312,93090719199763.0,201174810274.0,65908852003.0,1935346562096.0,2547998489076.0,106535697100.0,,97947683610312.0
Thay đổi trong năm,Bảo hiểm nhân thọ > Thay đổi trong năm,Thay đổi trong năm,18.980.254.654.676,9.971.272.379,20.321.562.720,222.092.183.901,1.140.336.820.587,10.961.612.349,-,20.383.938.106.612,18980254654676.0,9971272379.0,20321562720.0,222092183901.0,1140336820587.0,10961612349.0,,20383938106612.0
Ngày 31/12/2021,Bảo hiểm nhân thọ > Ngày 31/12/2021,Ngày 31/12/2021,112.070.973.854.439,211.146.082.653,86.230.414.723,2.157.438.745.997,3.688.335.309.663,117.497.309.449,-,118.331.621.716.924,112070973854439.0,211146082653.0,86230414723.0,2157438745997.0,3688335309663.0,117497309449.0,,118331621716924.0
Bảo hiểm phi nhân thọ (*),Bảo hiểm phi nhân thọ (*),Bảo hiểm phi nhân thọ (*),Bảo hiểm phi nhân thọ (*),Bảo hiểm phi nhân thọ (*),Bảo hiểm phi nhân thọ (*),Bảo hiểm phi nhân thọ (*),Bảo hiểm phi nhân thọ (*),Bảo hiểm phi nhân thọ (*),Bảo hiểm phi nhân thọ (*),Bảo hiểm phi nhân thọ (*),,,,,,,,
Ngày 31/12/2020,Bảo hiểm phi nhân thọ (*) > Ngày 31/12/2020,Ngày 31/12/2020,-,4.769.440.601.933,2.509.844.747.126,-,-,27.185.006.695,16.207.748.985,7.322.678.104.739,,4769440601933.0,2509844747126.0,,,27185006695.0,16207748985.0,7322678104739.0
Thay đổi trong năm,Bảo hiểm phi nhân thọ (*) > Thay đổi trong năm,Thay đổi trong năm,-,(338.228.740.131),(188.425.890.727),-,-,62.618.510.394,38.428.347.377,(425.607.773.087),,-338228740131.0,-188425890727.0,,,62618510394.0,38428347377.0,-425607773087.0
Ngày 31/12/2021,Bảo hiểm phi nhân thọ (*) > Ngày 31/12/2021,Ngày 31/12/2021,-,4.431.211.861.802,2.321.418.856.399,-,-,89.803.517.089,54.636.096.362,6.897.070.331.652,,4431211861802.0,2321418856399.0,,,89803517089.0,54636096362.0,6897070331652.0
Ngày 31/12/2020,Bảo hiểm phi nhân thọ (*) > Ngày 31/12/2020,Ngày 31/12/2020,93.090.719.199.763,4.970.615.412.207,2.575.753.599.129,1.935.346.562.096,2.547.998.489.076,133.720.703.795,16.207.748.985,105.270.361.715.051,93090719199763.0,4970615412207.0,2575753599129.0,1935346562096.0,2547998489076.0,133720703795.0,16207748985.0,105270361715051.0
Thay đổi trong năm,Bảo hiểm phi nhân thọ (*) > Thay đổi trong năm,Thay đổi trong năm,18.980.254.654.676,(328.257.467.752),(168.104.328.007),222.092.183.901,1.140.336.820.587,73.580.122.743,38.428.347.377,19.958.330.333.525,18980254654676.0,-328257467752.0,-168104328007.0,222092183901.0,1140336820587.0,73580122743.0,38428347377.0,19958330333525.0
Ngày 31/12/2021,Bảo hiểm phi nhân thọ (*) > Ngày 31/12/2021,Ngày 31/12/2021,112.070.973.854.439,4.642.357.944.455,2.407.649.271.122,2.157.438.745.997,3.688.335.309.663,207.300.826.538,54.636.096.362,125.228.692.048.576,112070973854439.0,4642357944455.0,2407649271122.0,2157438745997.0,3688335309663.0,207300826538.0,54636096362.0,125228692048576.0
(*) Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,(*) Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,(*) Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,(*) Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,(*) Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,(*) Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,(*) Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,(*) Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,(*) Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,(*) Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,(*) Chi tiết thay đổi dự phòng nghiệp vụ hoạt động bảo hiểm phi nhân thọ như sau:,,,,,,,,
,,,,,Dự phòngbảo hiểm gốc và nhận tái bảo hiểmVND,,Dự phòng nhượngtái bảo hiểm (tài sản tái bảo hiểm)VND,,Dự phòngbảo hiểm thuầnVND,,,,,,,,,
Ngày 31/12/2020,Ngày 31/12/2020,Ngày 31/12/2020,,,,,,,,,,,,,,,,
Dự phòng phí chưa được hưởng,Ngày 31/12/2020 > Dự phòng phí chưa được hưởng,Dự phòng phí chưa được hưởng,,,4.769.440.601.933,,(1.059.460.785.355),,3.709.979.816.578,,,,4769440601933.0,,-1059460785355.0,,3709979816578.0,
Dự phòng bởi thường,Ngày 31/12/2020 > Dự phòng bởi thường,Dự phòng bởi thường,,,2.509.844.747.126,,(1.187.235.382.389),,1.322.609.364.737,,,,2509844747126.0,,-1187235382389.0,,1322609364737.0,
Dự phòng dao động lớn,Ngày 31/12/2020 > Dự phòng dao động lớn,Dự phòng dao động lớn,,,16.207.748.985,,-,,16.207.748.985,,,,16207748985.0,,,,16207748985.0,
Dự phòng đảm bảo cân đối,Ngày 31/12/2020 > Dự phòng đảm bảo cân đối,Dự phòng đảm bảo cân đối,,,27.185.006.695,,-,,27.185.006.695,,,,27185006695.0,,,,27185006695.0,
TỔNG CỘNG,Ngày 31/12/2020 > TỔNG CỘNG,TỔNG CỘNG,,,7.322.678.104.739,,(2.246.696.167.744),,5.075.981.936.995,,,,7322678104739.0,,-2246696167744.0,,5075981936995.0,
Ngày 31/12/2021,Ngày 31/12/2021,Ngày 31/12/2021,,,,,,,,,,,,,,,,
Dự phòng phí chưa được hưởng,Ngày 31/12/2021 > Dự phòng phí chưa được hưởng,Dự phòng phí chưa được hưởng,,,4.431.211.861.802,,(1.033.169.851.481),,3.398.042.010.321,,,,4431211861802.0,,-1033169851481.0,,3398042010321.0,
Dự phòng bởi thường,Ngày 31/12/2021 > Dự phòng bởi thường,Dự phòng bởi thường,,,2.321.418.856.399,,(1.115.812.326.778),,1.205.606.529.621,,,,2321418856399.0,,-1115812326778.0,,1205606529621.0,
Dự phòng dao động lớn,Ngày 31/12/2021 > Dự phòng dao động lớn,Dự phòng dao động lớn,,,54.636.096.362,,-,,54.636.096.362,,,,54636096362.0,,,,54636096362.0,
Dự phòng đảm bảo cân đối,Ngày 31/12/2021 > Dự phòng đảm bảo cân đối,Dự phòng đảm bảo cân đối,,,89.803.517.089,,-,,89.803.517.089,,,,89803517089.0,,,,89803517089.0,
TỔNG CỘNG,Ngày 31/12/2021 > TỔNG CỘNG,TỔNG CỘNG,,,6.897.070.331.652,,(2.148.982.178.259),,4.748.088.153.393,,,,6897070331652.0,,-2148982178259.0,,4748088153393.0,
