row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Cơ sởhạ tầngVND,Nhà cửaVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Cơ sởhạ tầngVND,numeric__Nhà cửaVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,38.884.288.170,6.464.218.561,97.992.331.437,143.340.838.168,38884288170.0,6464218561.0,97992331437.0,143340838168.0
Chuyển từ tài sản cố định hữu hình,Nguyên giá > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,3.042.107.250,3.042.107.250,,,3042107250.0,3042107250.0
Chuyển từ tài sản cố định vô hình,Nguyên giá > Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,937.505.205,-,-,937.505.205,937505205.0,,,937505205.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,39.821.793.375,6.464.218.561,101.034.438.687,147.320.450.623,39821793375.0,6464218561.0,101034438687.0,147320450623.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.438.746.575,5.186.933.954,39.441.887.111,48.067.567.640,3438746575.0,5186933954.0,39441887111.0,48067567640.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,847.643.745,611.363.990,4.889.645.286,6.348.653.021,847643745.0,611363990.0,4889645286.0,6348653021.0
Chuyển từ tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,2.331.508.157,2.331.508.157,,,2331508157.0,2331508157.0
Chuyển từ tài sản cố định vô hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,324.521.046,-,-,324.521.046,324521046.0,,,324521046.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.610.911.366,5.798.297.944,46.663.040.554,57.072.249.864,4610911366.0,5798297944.0,46663040554.0,57072249864.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,35.445.541.595,1.277.284.607,58.550.444.326,95.273.270.528,35445541595.0,1277284607.0,58550444326.0,95273270528.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,35.210.882.009,665.920.617,54.371.398.133,90.248.200.759,35210882009.0,665920617.0,54371398133.0,90248200759.0
