row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,14.514.534.290.000,260.699.620.761,(1.176.335.920),5.654.693.453,1.797.019.925.588,5.591.831.510.779,237.385.583.924,22.405.949.288.585,14514534290000.0,260699620761.0,-1176335920.0,5654693453.0,1797019925588.0,5591831510779.0,237385583924.0,22405949288585.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(5.983.485.880),-,-,-,-,(5.983.485.880),,,-5983485880.0,,,,,-5983485880.0
Mua lợi ích cổ đông không kiểm soát,Mua lợi ích cổ đông không kiểm soát,Mua lợi ích cổ đông không kiểm soát,-,-,-,-,-,(41.762.522.713),(234.654.964.345),(276.417.487.058),,,,,,-41762522713.0,-234654964345.0,-276417487058.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,10.295.665.148.846,(17.490.595.680),10.278.174.553.166,,,,,,10295665148846.0,-17490595680.0,10278174553166.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,-,-,1.054.885.484.640,(1.054.885.484.640),-,-,,,,,1054885484640.0,-1054885484640.0,,
Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,-,-,-,-,-,(1.071.655.246.780),-,(1.071.655.246.780),,,,,,-1071655246780.0,,-1071655246780.0
Tăng khác do hợp nhất kinh doanh,Tăng khác do hợp nhất kinh doanh,Tăng khác do hợp nhất kinh doanh,-,-,-,-,-,-,513.052.965.331,513.052.965.331,,,,,,,513052965331.0,513052965331.0
Cổ tức (Thuyết minh V.24),Cổ tức (Thuyết minh V.24),Cổ tức (Thuyết minh V.24),-,-,-,-,-,(7.982.272.776.030),(452.720.796),(7.982.725.496.826),,,,,,-7982272776030.0,-452720796.0,-7982725496826.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,12.712.763.680,-,-,(50.040.357),12.662.723.323,,,,12712763680.0,,,-50040357.0,12662723323.0
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,14.514.534.290.000,260.699.620.761,(7.159.821.800),18.367.457.133,2.851.905.410.228,5.736.920.629.462,497.790.228.077,23.873.057.813.861,14514534290000.0,260699620761.0,-7159821800.0,18367457133.0,2851905410228.0,5736920629462.0,497790228077.0,23873057813861.0
