row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tài sản khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,272.302.189.084,148.064.099.477,49.183.050.000,469.549.338.561,272302189084.0,148064099477.0,49183050000.0,469549338561.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.146.206.000,-,1.146.206.000,,1146206000.0,,1146206000.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,9.493.334.500,-,9.493.334.500,,9493334500.0,,9493334500.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(937.505.205),-,-,(937.505.205),-937505205.0,,,-937505205.0
Thanh lý/Xóa sổ,Nguyên giá > Thanh lý/Xóa sổ,Thanh lý/Xóa sổ,-,(9.185.470.118),-,(9.185.470.118),,-9185470118.0,,-9185470118.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,4.423.062.254,38.870.400,1.041.600.000,5.503.532.654,4423062254.0,38870400.0,1041600000.0,5503532654.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,275.787.746.133,149.557.040.259,50.224.650.000,475.569.436.392,275787746133.0,149557040259.0,50224650000.0,475569436392.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,11.620.088.484,105.819.220.094,33.317.550.000,150.756.858.578,11620088484.0,105819220094.0,33317550000.0,150756858578.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,18.028.947,15.930.322.866,-,15.948.351.813,18028947.0,15930322866.0,,15948351813.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(324.521.046),-,-,(324.521.046),-324521046.0,,,-324521046.0
Thanh lý/Xóa sổ,Giá trị hao mòn lũy kế > Thanh lý/Xóa sổ,Thanh lý/Xóa sổ,-,(9.117.467.783),-,(9.117.467.783),,-9117467783.0,,-9117467783.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,18.447.168,705.600.000,724.047.168,,18447168.0,705600000.0,724047168.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,11.313.596.385,112.650.522.345,34.023.150.000,157.987.268.730,11313596385.0,112650522345.0,34023150000.0,157987268730.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,260.682.100.600,42.244.879.383,15.865.500.000,318.792.479.983,260682100600.0,42244879383.0,15865500000.0,318792479983.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,264.474.149.748,36.906.517.914,16.201.500.000,317.582.167.662,264474149748.0,36906517914.0,16201500000.0,317582167662.0
