row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Gia súc VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Gia súc VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.943.236.097.354,12.569.658.769.094,981.123.921.171,537.837.961.738,871.057.030.359,14.522.020.768,18.917.435.800.484,3943236097354.0,12569658769094.0,981123921171.0,537837961738.0,871057030359.0,14522020768.0,18917435800484.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,27.007.089.837,604.113.171.496,42.896.327.950,70.112.666.214,74.161.762.305,-,818.291.017.802,27007089837.0,604113171496.0,42896327950.0,70112666214.0,74161762305.0,,818291017802.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,-,-,-,182.089.084.681,-,182.089.084.681,,,,,182089084681.0,,182089084681.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,530.341.603.378,2.862.320.136.493,72.699.095.464,37.660.175.139,-,3.061.312.413,3.506.082.322.887,530341603378.0,2862320136493.0,72699095464.0,37660175139.0,,3061312413.0,3506082322887.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(3.042.107.250),-,-,-,-,-,(3.042.107.250),-3042107250.0,,,,,,-3042107250.0
Tăng do hợp nhất kinh doanh (Thuyết minh V.1),Nguyên giá > Tăng do hợp nhất kinh doanh (Thuyết minh V.1),Tăng do hợp nhất kinh doanh (Thuyết minh V.1),12.796.743.960,20.092.302.252,5.611.277.814,10.167.213.595,69.487.506.449,-,118.155.044.070,12796743960.0,20092302252.0,5611277814.0,10167213595.0,69487506449.0,,118155044070.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,596.510.716,(128.188.272),571.933.621,(1.040.256.065),-,-,-,596510716.0,-128188272.0,571933621.0,-1040256065.0,,,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(19.295.997.118),(365.818.949.676),(14.030.150.991),(9.801.380.561),(194.297.937.614),(1.281.426.371),(604.525.842.331),-19295997118.0,-365818949676.0,-14030150991.0,-9801380561.0,-194297937614.0,-1281426371.0,-604525842331.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,-,-,(2.926.227.380),-,(2.926.227.380),,,,,-2926227380.0,,-2926227380.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,3.587.369.716,15.003.899.057,2.191.519.262,405.364.750,(388.114.968),1.319.532,20.801.357.349,3587369716.0,15003899057.0,2191519262.0,405364750.0,-388114968.0,1319532.0,20801357349.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.495.227.310.593,15.705.241.140.444,1.091.063.924.291,645.341.744.810,999.183.103.832,16.303.226.342,22.952.360.450.312,4495227310593.0,15705241140444.0,1091063924291.0,645341744810.0,999183103832.0,16303226342.0,22952360450312.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.238.923.259.212,6.297.570.079.076,466.335.129.879,405.033.023.727,217.959.537.855,1.098.151.871,8.626.919.181.620,1238923259212.0,6297570079076.0,466335129879.0,405033023727.0,217959537855.0,1098151871.0,8626919181620.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,205.617.980.099,1.096.142.787.334,96.567.501.674,53.546.831.467,151.831.644.760,628.632.180,1.604.335.377.514,205617980099.0,1096142787334.0,96567501674.0,53546831467.0,151831644760.0,628632180.0,1604335377514.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(2.331.508.157),-,-,-,-,-,(2.331.508.157),-2331508157.0,,,,,,-2331508157.0
Tăng do hợp nhất kinh doanh (Thuyết minh V.1),Giá trị hao mòn lũy kế > Tăng do hợp nhất kinh doanh (Thuyết minh V.1),Tăng do hợp nhất kinh doanh (Thuyết minh V.1),2.247.935.344,8.285.984.953,1.625.116.127,4.673.978.668,25.419.648.504,-,42.252.663.596,2247935344.0,8285984953.0,1625116127.0,4673978668.0,25419648504.0,,42252663596.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,3.419.075.283,(4.473.991.600),16.620.323,1.038.295.994,-,-,-,3419075283.0,-4473991600.0,16620323.0,1038295994.0,,,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(8.649.811.916),(269.100.104.150),(10.210.748.104),(9.753.398.852),(80.113.881.616),(157.666.994),(377.985.611.632),-8649811916.0,-269100104150.0,-10210748104.0,-9753398852.0,-80113881616.0,-157666994.0,-377985611632.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,-,-,-,(148.612.000),-,(148.612.000),,,,,-148612000.0,,-148612000.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,1.165.396.055,8.866.047.795,1.344.961.146,314.297.044,(136.983.980),(6.190.125),11.547.527.935,1165396055.0,8866047795.0,1344961146.0,314297044.0,-136983980.0,-6190125.0,11547527935.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.440.392.325.920,7.137.290.803.408,555.678.581.045,454.853.028.048,314.811.353.523,1.562.926.932,9.904.589.018.876,1440392325920.0,7137290803408.0,555678581045.0,454853028048.0,314811353523.0,1562926932.0,9904589018876.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.704.312.838.142,6.272.088.690.018,514.788.791.292,132.804.938.011,653.097.492.504,13.423.868.897,10.290.516.618.864,2704312838142.0,6272088690018.0,514788791292.0,132804938011.0,653097492504.0,13423868897.0,10290516618864.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.054.834.984.673,8.567.950.337.036,535.385.343.246,190.488.716.762,684.371.750.309,14.740.299.410,13.047.771.431.436,3054834984673.0,8567950337036.0,535385343246.0,190488716762.0,684371750309.0,14740299410.0,13047771431436.0
