row_label_raw,row_label_full,col_0,1/1/2018 VND,Tăng thêm VND,Tăng thêm VND_1,Chi trả VND,Chênh lệch quy đổi tiền tệ VND,31/12/2018 VND,numeric__1/1/2018 VND,numeric__Tăng thêm VND,numeric__Tăng thêm VND_1,numeric__Chi trả VND,numeric__Chênh lệch quy đổi tiền tệ VND,numeric__31/12/2018 VND
Vay dài hạn,Vay dài hạn,Vay dài hạn,334.846.689.387,56.236.683,56.236.683,(67.614.006.709),6.372.500.000,273.661.419.361,334846689387.0,56236683.0,56236683.0,-67614006709.0,6372500000.0,273661419361.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,(59.897.250.000),(63.266.500.000),(63.266.500.000),66.416.000.000,(1.114.750.000),(57.862.500.000),-59897250000.0,-63266500000.0,-63266500000.0,66416000000.0,-1114750000.0,-57862500000.0
,,,274.949.439.387,(63.210.263.317),(63.210.263.317),(1.198.006.709),5.257.750.000,215.798.919.361,274949439387.0,-63210263317.0,-63210263317.0,-1198006709.0,5257750000.0,215798919361.0
Điều khoản và điều kiện của các khoản vay dài hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay dài hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay dài hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay dài hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay dài hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay dài hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay dài hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay dài hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay dài hạn hiện còn số dư như sau:,,,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Thuyết minh,Loại tiền,Lãi suất năm,Năm đáo hạn,31/12/2018 VND,1/1/2018 VND,,,,,,
"Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố","Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố","Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố","Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố","Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố","Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố","Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố","Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố","Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố",,,,,,
Hồ Chí Minh,"Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố > Hồ Chí Minh",Hồ Chí Minh,(i),USD,"4,11%",2020,266.167.500.000,317.310.000.000,,,0.041100000000000005,2020.0,266167500000.0,317310000000.0
Các cá nhân,"Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố > Các cá nhân",Các cá nhân,(ii),VND,"5,40%",2039,7.493.919.361,8.635.689.387,,,0.054000000000000006,2039.0,7493919361.0,8635689387.0
Ngân hàng Đầu tư và Phát triển Việt Nam,"Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố > Ngân hàng Đầu tư và Phát triển Việt Nam",Ngân hàng Đầu tư và Phát triển Việt Nam,,VND,"5,40%",2018,-,8.900.000.000,,,0.054000000000000006,2018.0,,8900000000.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,"Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam",Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,,VND,"5,40%",2018,-,1.000.000,,,0.054000000000000006,2018.0,,1000000.0
,,,,,,,273.661.419.361,334.846.689.387,,,,,273661419361.0,334846689387.0
