row_label_raw,row_label_full,col_0,Trong nước(Khách hàng tại Việt Nam),Trong nước(Khách hàng tại Việt Nam)_1,Nước ngoài(Khách hàng ở các nước khác Việt Nam),Nước ngoài(Khách hàng ở các nước khác Việt Nam)_1,Tổng,Tổng_1,numeric__Trong nước(Khách hàng tại Việt Nam),numeric__Trong nước(Khách hàng tại Việt Nam)_1,numeric__Nước ngoài(Khách hàng ở các nước khác Việt Nam),numeric__Nước ngoài(Khách hàng ở các nước khác Việt Nam)_1,numeric__Tổng,numeric__Tổng_1
,,,2018VND,2017VND,2018VND,2017VND,2018VND,2017VND,,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,44.747.261.858.074,43.572.091.099.815,7.814.688.112.518,7.468.984.785.294,52.561.949.970.592,51.041.075.885.109,44747261858074.0,43572091099815.0,7814688112518.0,7468984785294.0,52561949970592.0,51041075885109.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,(23.804.252.809.032),(22.916.806.416.790),(4.146.290.692.469),(3.890.124.649.686),(27.950.543.501.501),(26.806.931.066.476),-23804252809032.0,-22916806416790.0,-4146290692469.0,-3890124649686.0,-27950543501501.0,-26806931066476.0
