row_label_raw,row_label_full,col_0,1/1/2018 VND,Tăng thêm VND,Tăng thêm VND_1,Chi trả VND,Chênh lệch quy đổi tiền tệ VND,31/12/2018 VND,numeric__1/1/2018 VND,numeric__Tăng thêm VND,numeric__Tăng thêm VND_1,numeric__Chi trả VND,numeric__Chênh lệch quy đổi tiền tệ VND,numeric__31/12/2018 VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,208.204.796.087,6.246.021.226.056,6.246.021.226.056,(5.454.072.234.516),2.031.364.702,1.002.185.152.329,208204796087.0,6246021226056.0,6246021226056.0,-5454072234516.0,2031364702.0,1002185152329.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,59.897.250.000,63.266.500.000,63.266.500.000,(66.416.000.000),1.114.750.000,57.862.500.000,59897250000.0,63266500000.0,63266500000.0,-66416000000.0,1114750000.0,57862500000.0
,,,268.102.046.087,6.309.287.726.056,6.309.287.726.056,(5.520.488.234.516),3.146.114.702,1.060.047.652.329,268102046087.0,6309287726056.0,6309287726056.0,-5520488234516.0,3146114702.0,1060047652329.0
Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,Điều khoản và điều kiện của các khoản vay ngắn hạn hiện còn số dư như sau:,,,,,,
Bên cho vay,Bên cho vay,Bên cho vay,,Thuyết minh,Loại tiền,Lãi suất năm,31/12/2018 VND,1/1/2018 VND,,,,,,
"Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố Hồ Chí Minh Wells Fargo","Bên cho vay > Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố Hồ Chí Minh Wells Fargo","Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố Hồ Chí Minh Wells Fargo",,(i),VND,"5,15%",700.000.000.000,-,,,,0.051500000000000004,700000000000.0,
"Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố Hồ Chí Minh Wells Fargo","Bên cho vay > Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố Hồ Chí Minh Wells Fargo","Sumitomo Mitsui Banking Corporation, Chi nhánh Thành phố Hồ Chí Minh Wells Fargo",,(ii),USD,"4,59%",67.170.339.517,108.204.796.087,,,,0.045899999999999996,67170339517.0,108204796087.0
Ngân hàng Đầu tư và Phát triển Việt Nam,Bên cho vay > Ngân hàng Đầu tư và Phát triển Việt Nam,Ngân hàng Đầu tư và Phát triển Việt Nam,,(iii),VND,"5,85% - 6,00%",135.014.812.812,-,,,,,135014812812.0,
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Bên cho vay > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,,(iii),VND,"5,50% - 6,00%",100.000.000.000,100.000.000.000,,,,,100000000000.0,100000000000.0
,,,,,,,1.002.185.152.329,208.204.796.087,,,,,1002185152329.0,208204796087.0
