row_label_raw,row_label_full,col_0,Giá trị ghi sổ trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi sổ trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,145.375.650,-,145.375.650,145375650.0,,145375650.0
Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,835.604.154,-,835.604.154,835604154.0,,835604154.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,38.799.758.764,-,38.799.758.764,38799758764.0,,38799758764.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,24.644.142.544,-,24.644.142.544,24644142544.0,,24644142544.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,2.137.709.133,-,2.137.709.133,2137709133.0,,2137709133.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,75.902.380.474,-,75.902.380.474,75902380474.0,,75902380474.0
Nguyên giá,Nguyên giá,Nguyên giá,118.155.044.070,-,118.155.044.070,118155044070.0,,118155044070.0
Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,(42.252.663.596),-,(42.252.663.596),-42252663596.0,,-42252663596.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,41.775.811.751,-,41.775.811.751,41775811751.0,,41775811751.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,-,112.529.876.900,112.529.876.900,,112529876900.0,112529876900.0
Phải trả nhà cung cấp – ngắn hạn,Phải trả nhà cung cấp – ngắn hạn,Phải trả nhà cung cấp – ngắn hạn,(5.488.382.090),-,(5.488.382.090),-5488382090.0,,-5488382090.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,(6.755.429.100),-,(6.755.429.100),-6755429100.0,,-6755429100.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,(2.504.390.000),-,(2.504.390.000),-2504390000.0,,-2504390000.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(228.683.337.537),-,(228.683.337.537),-228683337537.0,,-228683337537.0
Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,(2.066.284.442),-,(2.066.284.442),-2066284442.0,,-2066284442.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,(22.505.975.380),(22.505.975.380),,-22505975380.0,-22505975380.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,(61.257.040.699),90.023.901.520,28.766.860.821,-61257040699.0,90023901520.0,28766860821.0
Tài sản thuần nhận được (51%),Tài sản thuần nhận được (51%),Tài sản thuần nhận được (51%),,,14.671.099.019,,,14671099019.0
Lợi thế thương mại (Thuyết minh V.14),Lợi thế thương mại (Thuyết minh V.14),Lợi thế thương mại (Thuyết minh V.14),,,120.331.532.026,,,120331532026.0
Khoản thanh toán cho việc mua,Khoản thanh toán cho việc mua,Khoản thanh toán cho việc mua,,,135.002.631.045,,,135002631045.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,145.375.650,,,145375650.0
Khoản tiền thuần chi ra,Khoản tiền thuần chi ra,Khoản tiền thuần chi ra,,,(134.857.255.395),,,-134857255395.0
