row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2018 > % vốn sở hữu và quyền biểu quyết,Ngày 31 tháng 12 năm 2018 > Giá trị ghi số VND,Ngày 31 tháng 12 năm 2018 > Giá trị hợp lý VND,Ngày 31 tháng 12 năm 2018 > Dự phòng giảm giá VND,Ngày 1 tháng 1 năm 2018 > % vốn sở hữu và quyền biểu quyết,Ngày 1 tháng 1 năm 2018 > Giá trị ghi số VND,Ngày 1 tháng 1 năm 2018 > Giá trị hợp lý VND,Ngày 1 tháng 1 năm 2018 > Dự phòng giảm giá VND,numeric__Ngày 31 tháng 12 năm 2018 > % vốn sở hữu và quyền biểu quyết,numeric__Ngày 31 tháng 12 năm 2018 > Giá trị ghi số VND,numeric__Ngày 31 tháng 12 năm 2018 > Giá trị hợp lý VND,numeric__Ngày 31 tháng 12 năm 2018 > Dự phòng giảm giá VND,numeric__Ngày 1 tháng 1 năm 2018 > % vốn sở hữu và quyền biểu quyết,numeric__Ngày 1 tháng 1 năm 2018 > Giá trị ghi số VND,numeric__Ngày 1 tháng 1 năm 2018 > Giá trị hợp lý VND,numeric__Ngày 1 tháng 1 năm 2018 > Dự phòng giảm giá VND
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,,,,,,,,
■ Miraka Holding Limited,Đầu tư vào các công ty liên kết > ■ Miraka Holding Limited,■ Miraka Holding Limited,"22,81%",383.178.796.529,(*),-,"22,81%",383.002.013.497,(*),-,0.2281,383178796529.0,,,0.2281,383002013497.0,,
■ Công ty Cổ phần Chế biến Dừa Á Châu,Đầu tư vào các công ty liên kết > ■ Công ty Cổ phần Chế biến Dừa Á Châu,■ Công ty Cổ phần Chế biến Dừa Á Châu,"25,00%",90.176.090.417,(*),-,"25,00%",86.858.993.107,(*),-,0.25,90176090417.0,,,0.25,86858993107.0,,
■ Công ty Cổ phần APIS (**),Đầu tư vào các công ty liên kết > ■ Công ty Cổ phần APIS (**),■ Công ty Cổ phần APIS (**),"20,00%",24.143.852.671,(*),-,"18,00%",11.421.715.965,(*),-,0.2,24143852671.0,,,0.18,11421715965.0,,
,,,,497.498.739.617,,-,,481.282.722.569,,-,,497498739617.0,,,,481282722569.0,,
Đầu tư vào các công ty khác,Đầu tư vào các công ty khác,Đầu tư vào các công ty khác,Đầu tư vào các công ty khác,Đầu tư vào các công ty khác,Đầu tư vào các công ty khác,Đầu tư vào các công ty khác,Đầu tư vào các công ty khác,Đầu tư vào các công ty khác,Đầu tư vào các công ty khác,Đầu tư vào các công ty khác,,,,,,,,
■ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,Đầu tư vào các công ty khác > ■ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,■ Công ty Cổ phần Nguyên liệu Thực phẩm Á Châu Sài Gòn,,69.261.607.154,(*),-,,69.261.607.154,(*),-,,69261607154.0,,,,69261607154.0,,
■ Quỹ đầu tư tăng trưởng Việt Nam (VF2) (***),Đầu tư vào các công ty khác > ■ Quỹ đầu tư tăng trưởng Việt Nam (VF2) (***),■ Quỹ đầu tư tăng trưởng Việt Nam (VF2) (***),,-,,-,,10.270.276.240,(*),(7.501.517.042),,,,,,10270276240.0,,-7501517042.0
■ Nhà thuốc – Phòng khám đa khoa An Khang,Đầu tư vào các công ty khác > ■ Nhà thuốc – Phòng khám đa khoa An Khang,■ Nhà thuốc – Phòng khám đa khoa An Khang,,300.000.000,(*),-,,300.000.000,(*),-,,300000000.0,,,,300000000.0,,
■ Công ty Cổ phần Bò giống Miền Trung,Đầu tư vào các công ty khác > ■ Công ty Cổ phần Bò giống Miền Trung,■ Công ty Cổ phần Bò giống Miền Trung,,1.688.700.000,(*),(921.571.652),,1.688.700.000,(*),(619.873.969),,1688700000.0,,-921571652.0,,1688700000.0,,-619873969.0
■ Khác,Đầu tư vào các công ty khác > ■ Khác,■ Khác,,833.220.000,(*),-,,815.940.000,(*),-,,833220000.0,,,,815940000.0,,
,,,,72.083.527.154,,(921.571.652),,82.336.523.394,,(8.121.391.011),,72083527154.0,,-921571652.0,,82336523394.0,,-8121391011.0
,,,,569.582.266.771,,(921.571.652),,563.619.245.963,,(8.121.391.011),,569582266771.0,,-921571652.0,,563619245963.0,,-8121391011.0
