row_label_raw,row_label_full,Giá trị đầu tư: > Số đầu năm > Chuyển nhượng trong năm > Số cuối năm,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn > Giá trị đầu tư: > 423.492.661.074 > - > 423.492.661.074,Công ty Cổ phần Đầu tư Sài Gòn - Huế > Giá trị đầu tư: > 210.627.000.000 > (210.627.000.000) > -,Công ty Cổ phần Scanviwood > Giá trị đầu tư: > 7.204.600.000 > - > 7.204.600.000,Đơn vị tính: VND Tổng cộng > Giá trị đầu tư: > 641.324.261.074 > (210.627.000.000) > 430.697.261.074,numeric__Công ty Cổ phần Công nghệ Viễn thông Sài Gòn > Giá trị đầu tư: > 423.492.661.074 > - > 423.492.661.074,numeric__Công ty Cổ phần Đầu tư Sài Gòn - Huế > Giá trị đầu tư: > 210.627.000.000 > (210.627.000.000) > -,numeric__Công ty Cổ phần Scanviwood > Giá trị đầu tư: > 7.204.600.000 > - > 7.204.600.000,numeric__Đơn vị tính: VND Tổng cộng > Giá trị đầu tư: > 641.324.261.074 > (210.627.000.000) > 430.697.261.074
Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,,,,
Số đầu năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số đầu năm,Số đầu năm,(36.444.932.800),(8.015.783.495),(1.710.532.378),(46.171.248.673),-36444932800.0,-8015783495.0,-1710532378.0,-46171248673.0
- Phần lợi nhuận sau khi mua công ty liên kết,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > - Phần lợi nhuận sau khi mua công ty liên kết,- Phần lợi nhuận sau khi mua công ty liên kết,2.674.783.347,-,-,2.674.783.347,2674783347.0,,,2674783347.0
- Chuyển nhượng trong năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > - Chuyển nhượng trong năm,- Chuyển nhượng trong năm,-,8.015.783.495,-,8.015.783.495,,8015783495.0,,8015783495.0
Số cuối năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số cuối năm,Số cuối năm,(33.770.149.453),-,(1.710.532.378),(35.480.681.831),-33770149453.0,,-1710532378.0,-35480681831.0
Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,,,,
Số đầu năm,Lợi thế thương mại đã phân bổ: > Số đầu năm,Số đầu năm,160.227.726.386,-,-,160.227.726.386,160227726386.0,,,160227726386.0
Số cuối năm,Lợi thế thương mại đã phân bổ: > Số cuối năm,Số cuối năm,160.227.726.386,-,-,160.227.726.386,160227726386.0,,,160227726386.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,226.820.001.888,202.611.216.505,5.494.067.622,434.925.286.015,226820001888.0,202611216505.0,5494067622.0,434925286015.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,229.494.785.235,-,5.494.067.622,234.988.852.857,229494785235.0,,5494067622.0,234988852857.0
