row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 20.1),Vay ngắn hạn > Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 20.1),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 20.1),138.935.305.750,138.935.305.750,92.700.314.144,(61.060.959.093),170.574.660.801,170.574.660.801,138935305750.0,138935305750.0,92700314144.0,-61060959093.0,170574660801.0,170574660801.0
Trái phiếu dài hạn đến hạn trả (Thuyết minh số 20.2),Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả (Thuyết minh số 20.2),Trái phiếu dài hạn đến hạn trả (Thuyết minh số 20.2),557.100.000.000,557.100.000.000,910.249.545.453,(572.042.575.757),895.306.969.696,895.306.969.696,557100000000.0,557100000000.0,910249545453.0,-572042575757.0,895306969696.0,895306969696.0
Vay các bên liên quan(Thuyết minh số 29),Vay ngắn hạn > Vay các bên liên quan(Thuyết minh số 29),Vay các bên liên quan(Thuyết minh số 29),100.000.000.000,100.000.000.000,19.000.000.000,(100.000.000.000),19.000.000.000,19.000.000.000,100000000000.0,100000000000.0,19000000000.0,-100000000000.0,19000000000.0,19000000000.0
Vay đổi tượng khác(Thuyết minh số 20.3),Vay ngắn hạn > Vay đổi tượng khác(Thuyết minh số 20.3),Vay đổi tượng khác(Thuyết minh số 20.3),8.000.000.000,8.000.000.000,472.700.000.000,(18.900.000.000),461.800.000.000,461.800.000.000,8000000000.0,8000000000.0,472700000000.0,-18900000000.0,461800000000.0,461800000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,804.035.305.750,804.035.305.750,1.494.649.859.597,(752.003.534.850),1.546.681.630.497,1.546.681.630.497,804035305750.0,804035305750.0,1494649859597.0,-752003534850.0,1546681630497.0,1546681630497.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 20.1),Vay dài hạn > Vay ngân hàng(Thuyết minh số 20.1),Vay ngân hàng(Thuyết minh số 20.1),260.100.654.324,260.100.654.324,2.903.381.458.020,(92.700.314.144),3.070.781.798.200,3.070.781.798.200,260100654324.0,260100654324.0,2903381458020.0,-92700314144.0,3070781798200.0,3070781798200.0
Trái phiếu phát hành(Thuyết minh số 20.2),Vay dài hạn > Trái phiếu phát hành(Thuyết minh số 20.2),Trái phiếu phát hành(Thuyết minh số 20.2),805.861.885.377,805.861.885.377,1.189.696.851.757,(944.114.325.976),1.051.444.411.158,1.051.444.411.158,805861885377.0,805861885377.0,1189696851757.0,-944114325976.0,1051444411158.0,1051444411158.0
Vay các bên liên quan(Thuyết minh số 29),Vay dài hạn > Vay các bên liên quan(Thuyết minh số 29),Vay các bên liên quan(Thuyết minh số 29),30.000.000.000,30.000.000.000,-,-,30.000.000.000,30.000.000.000,30000000000.0,30000000000.0,,,30000000000.0,30000000000.0
Vay đối tượng khác(Thuyết minh số 20.3),Vay dài hạn > Vay đối tượng khác(Thuyết minh số 20.3),Vay đối tượng khác(Thuyết minh số 20.3),25.935.378.567,25.935.378.567,40.000.000.000,-,65.935.378.567,65.935.378.567,25935378567.0,25935378567.0,40000000000.0,,65935378567.0,65935378567.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.121.897.918.268,1.121.897.918.268,4.133.078.309.777,(1.036.814.640.120),4.218.161.587.925,4.218.161.587.925,1121897918268.0,1121897918268.0,4133078309777.0,-1036814640120.0,4218161587925.0,4218161587925.0
