row_label_raw,row_label_full,STT,Tên bên liên quan,Mối quan hệ,numeric__Tên bên liên quan,numeric__Mối quan hệ
1,1,1,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty có chung thành viên quản lý chủ chốt,,
2,2,2,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty liên kết,,
3,3,3,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty có chung thành viên quản lý chủ chốt,,
4,4,4,Ông Đăng Thành Tâm,Chủ tịch Hội đồng Quản trị,,
5,5,5,Bà Nguyễn Thị Thu Hương,Tổng Giám đốc,,
6,6,6,Ông Phan Anh Dũng,Phó Tổng Giám đốc,,
7,7,7,Bà Nguyễn Mỹ Ngọc,Phó Tổng Giám đốc,,
8,8,8,Ông Vũ Thanh Dương,Tổng Giám đốc của công ty con,,
9,9,9,Ông Mai Tuấn Dũng,Tổng Giám đốc của công ty con,,
10,10,10,Ông Vũ Ngọc Ánh,Tổng Giám đốc của công ty con,,
11,11,11,Ông Lê Minh Hà,Phó Tổng Giám đốc của công ty con,,
