row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Bắc Ninh > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Khu công nghiệp Quế Võ > Ngân hàng TMCP Tiên Phong > Ngân hàng TMCP Đại Chứng Việt Nam,Số cuối năm > 155.132.616.221 > 253.474.365.951 > 47.865.404.090 > 30.574.660.800 > 254.309.411.939 > 2.500.000.000.000,"Lãi suất > 10,5%/năm > 9,5% - 10%/năm > 10%/năm > 10,5%/năm > 10%/năm > 11,5%/năm",Kỳ hạn trả gốc và lãi > Ngày trả nợ cuối cùng là ngày 19 tháng 6 năm 2023. Gốc trả 6 tháng một lần kể từ ngày 1 tháng 12 năm 2018. Lãi vay trả 3 tháng một lần kể từ tháng 9 năm 2018. > Ngày trả nợ cuối cùng là ngày 29 tháng 11 năm 2022. Gốc trả 6 tháng một lần kể từ ngày 25 tháng 5 năm 2018. Lãi vay trả 3 tháng một lần vào ngày 25. > Ngày trả nợ cuối cùng là ngày 16 tháng 11 năm 2022. Gốc trả 6 tháng một lần kể từ ngày 22 tháng 6 năm 2017. Lãi vay trả 3 tháng 1 lần vào ngày 25. > Gốc vay và lãi trả trong tháng 2 năm 2021. > Tôi đa 6 năm từ ngày giải ngân đầu tiên (tháng 7 năm 2020). Thời gian ăn hạn gốc là 12 tháng kể từ ngày giải ngân đầu tiên. Lãi vay trả vào ngày 26 hàng tháng. > Tôi đa 10 năm từ ngày giải ngân đầu tiên vào tháng 12 năm 2020.,"Hình thức đảm bảo > Toàn bộ tài sản hình thành trong tương lai bao gồm quyền sử dụng đất và tài sản trên đất của Khu đô thị Phúc Ninh – phân khu có quy mô 22 ha. > Toàn bộ tài sản hình thành từ chi phí đầu tư mà Công ty đã đầu tư và sẽ đầu tư trong tương lai vào 100 ha giai đoạn 1 Khu công nghiệp Nam Sơn – Hạp Lĩnh và các quyền tài sản phát sinh từ các hợp đồng kinh tế phát sinh từ các giao dịch nhằm kinh doanh cơ sở hạ tầng, đất và tài sản gắn liền với đất của 100 ha giai đoạn 1 Khu công nghiệp Nam Sơn – Hạp Lĩnh. > Toàn bộ các tài sản hình thành từ dự án đầu tư xây dựng cơ sở hạ tầng Khu công nghiệp Quế Võ mở rộng 83,8 ha. > Quyền tài sản phát sinh từ các Hợp đồng cho thuê lại đất kèm cơ sở hạ tầng tại Khu Công nghiệp Tràng Duệ Giai đoạn II. > Quyền sử dụng đất và tài sản hình thành trên đất của các lô đất chưa bán thuộc Dự án đầu tư xây dựng Khu Đồ thị Dịch vụ Thương mại và Nhà ở công nhân Tràng Duệ. > Các tài sản liên quan đến Dự án Tràng Cát như được trình bày tại Thuyết minh số 10.",numeric__Số cuối năm > 155.132.616.221 > 253.474.365.951 > 47.865.404.090 > 30.574.660.800 > 254.309.411.939 > 2.500.000.000.000,"numeric__Lãi suất > 10,5%/năm > 9,5% - 10%/năm > 10%/năm > 10,5%/năm > 10%/năm > 11,5%/năm",numeric__Kỳ hạn trả gốc và lãi > Ngày trả nợ cuối cùng là ngày 19 tháng 6 năm 2023. Gốc trả 6 tháng một lần kể từ ngày 1 tháng 12 năm 2018. Lãi vay trả 3 tháng một lần kể từ tháng 9 năm 2018. > Ngày trả nợ cuối cùng là ngày 29 tháng 11 năm 2022. Gốc trả 6 tháng một lần kể từ ngày 25 tháng 5 năm 2018. Lãi vay trả 3 tháng một lần vào ngày 25. > Ngày trả nợ cuối cùng là ngày 16 tháng 11 năm 2022. Gốc trả 6 tháng một lần kể từ ngày 22 tháng 6 năm 2017. Lãi vay trả 3 tháng 1 lần vào ngày 25. > Gốc vay và lãi trả trong tháng 2 năm 2021. > Tôi đa 6 năm từ ngày giải ngân đầu tiên (tháng 7 năm 2020). Thời gian ăn hạn gốc là 12 tháng kể từ ngày giải ngân đầu tiên. Lãi vay trả vào ngày 26 hàng tháng. > Tôi đa 10 năm từ ngày giải ngân đầu tiên vào tháng 12 năm 2020.,"numeric__Hình thức đảm bảo > Toàn bộ tài sản hình thành trong tương lai bao gồm quyền sử dụng đất và tài sản trên đất của Khu đô thị Phúc Ninh – phân khu có quy mô 22 ha. > Toàn bộ tài sản hình thành từ chi phí đầu tư mà Công ty đã đầu tư và sẽ đầu tư trong tương lai vào 100 ha giai đoạn 1 Khu công nghiệp Nam Sơn – Hạp Lĩnh và các quyền tài sản phát sinh từ các hợp đồng kinh tế phát sinh từ các giao dịch nhằm kinh doanh cơ sở hạ tầng, đất và tài sản gắn liền với đất của 100 ha giai đoạn 1 Khu công nghiệp Nam Sơn – Hạp Lĩnh. > Toàn bộ các tài sản hình thành từ dự án đầu tư xây dựng cơ sở hạ tầng Khu công nghiệp Quế Võ mở rộng 83,8 ha. > Quyền tài sản phát sinh từ các Hợp đồng cho thuê lại đất kèm cơ sở hạ tầng tại Khu Công nghiệp Tràng Duệ Giai đoạn II. > Quyền sử dụng đất và tài sản hình thành trên đất của các lô đất chưa bán thuộc Dự án đầu tư xây dựng Khu Đồ thị Dịch vụ Thương mại và Nhà ở công nhân Tràng Duệ. > Các tài sản liên quan đến Dự án Tràng Cát như được trình bày tại Thuyết minh số 10."
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.241.356.459.001,,,,3241356459001.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,170.574.660.801,,,,170574660801.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,3.070.781.798.200,,,,3070781798200.0,,,
