row_label_raw,row_label_full,Số đầu năm,Đơn vị tính: VND > Năm nay > 897.934.323.991,Đơn vị tính: VND > Năm trước > 802.762.703.429,numeric__Đơn vị tính: VND > Năm nay > 897.934.323.991,numeric__Đơn vị tính: VND > Năm trước > 802.762.703.429
Lợi nhuận thuộc về cổ đông không kiểm soát,Lợi nhuận thuộc về cổ đông không kiểm soát,Lợi nhuận thuộc về cổ đông không kiểm soát,95.781.131.624,122.396.989.276,95781131624.0,122396989276.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,(38.550.000.000),(27.225.368.714),-38550000000.0,-27225368714.0
Giảm khác,Giảm khác,Giảm khác,(2.590.623.314),-,-2590623314.0,
Số cuối năm,Số cuối năm,Số cuối năm,952.574.832.301,897.934.323.991,952574832301.0,897934323991.0
