row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,,
"Phí tư vấn pháp lý, môi giới bán hàng","Chi phí bán hàng > Phí tư vấn pháp lý, môi giới bán hàng","Phí tư vấn pháp lý, môi giới bán hàng",47.597.826.702,127.603.646.911,47597826702.0,127603646911.0
Chi phí nhân viên bán hàng,Chi phí bán hàng > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,3.846.700.257,3.317.314.000,3846700257.0,3317314000.0
Khác,Chi phí bán hàng > Khác,Khác,772.194.901,10.989.453.544,772194901.0,10989453544.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,52.216.721.860,141.910.414.455,52216721860.0,141910414455.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,134.042.533.573,98.901.264.299,134042533573.0,98901264299.0
Chi phí khấu hao TSCĐ,Chi phí quản lý doanh nghiệp > Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,12.251.539.504,9.334.100.773,12251539504.0,9334100773.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,48.832.442.155,39.492.549.654,48832442155.0,39492549654.0
Chi phí tài trợ,Chi phí quản lý doanh nghiệp > Chi phí tài trợ,Chi phí tài trợ,45.092.365.073,8.757.488.800,45092365073.0,8757488800.0
Khác,Chi phí quản lý doanh nghiệp > Khác,Khác,30.501.315.257,15.394.495.122,30501315257.0,15394495122.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,270.720.195.562,171.879.898.648,270720195562.0,171879898648.0
