row_label_raw,row_label_full,Bên liên quan > Phải thu dài hạn khác(Thuyết minh số 9),Mối quan hệ > Phải thu dài hạn khác(Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu dài hạn khác(Thuyết minh số 9),Đơn vị tính: VND > Năm nay > Phải thu dài hạn khác(Thuyết minh số 9),Đơn vị tính: VND > Năm trước > Phải thu dài hạn khác(Thuyết minh số 9),numeric__Mối quan hệ > Phải thu dài hạn khác(Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu dài hạn khác(Thuyết minh số 9),numeric__Đơn vị tính: VND > Năm nay > Phải thu dài hạn khác(Thuyết minh số 9),numeric__Đơn vị tính: VND > Năm trước > Phải thu dài hạn khác(Thuyết minh số 9)
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty liên kết,Góp vốn hợp tác kinh doanh,40.000.000.000,-,,,40000000000.0,
,,,,,40.000.000.000,-,,,40000000000.0,
Chi phí phải trả ngắn hạn(Thuyết minh số 18),Chi phí phải trả ngắn hạn(Thuyết minh số 18),Chi phí phải trả ngắn hạn(Thuyết minh số 18),Chi phí phải trả ngắn hạn(Thuyết minh số 18),Chi phí phải trả ngắn hạn(Thuyết minh số 18),Chi phí phải trả ngắn hạn(Thuyết minh số 18),Chi phí phải trả ngắn hạn(Thuyết minh số 18),,,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Chi phí phải trả ngắn hạn(Thuyết minh số 18) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty liên kết,Lãi vay phải trả,1.373.775.343,-,,,1373775343.0,
Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Chi phí phải trả ngắn hạn(Thuyết minh số 18) > Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty có chung thành viên chủ chốt,Lãi vay phải trả,-,1.233.333.333,,,,1233333333.0
,,,,,1.373.775.343,1.233.333.333,,,1373775343.0,1233333333.0
Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),,,,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Chi phí phải trả dài hạn(Thuyết minh số 18) > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty có chung thành viên chủ chốt,Lãi vay phải trả,945.879.723,909.879.723,,,945879723.0,909879723.0
,,,,,945.879.723,909.879.723,,,945879723.0,909879723.0
