row_label_raw,row_label_full,col_0,Thuyết minh,Tỷ lệ vốn góp,Số cuối năm > Số cổ phiếu,Số cuối năm > Giá trị ghi số,Tỷ lệ góp vốn,Số đầu năm > Số cổ phiếu,Số đầu năm > Giá trị ghi số,numeric__Thuyết minh,numeric__Tỷ lệ vốn góp,numeric__Số cuối năm > Số cổ phiếu,numeric__Số cuối năm > Giá trị ghi số,numeric__Tỷ lệ góp vốn,numeric__Số đầu năm > Số cổ phiếu,numeric__Số đầu năm > Giá trị ghi số
Công ty Cổ phầnCông nghệ Viễnthống Sài Gòn,Công ty Cổ phầnCông nghệ Viễnthống Sài Gòn,Công ty Cổ phầnCông nghệ Viễnthống Sài Gòn,(i),"21,48%",15.896.923,229.494.785.235,"21,48%",15.896.923,226.820.001.888,,0.2148,15896923.0,229494785235.0,0.2148,15896923.0,226820001888.0
Công ty Cổ phầnĐầu tư Sài Gòn -Huế,Công ty Cổ phầnĐầu tư Sài Gòn -Huế,Công ty Cổ phầnĐầu tư Sài Gòn -Huế,(ii),-,-,-,"28,14%",9.849.000,202.611.216.505,,,,,0.2814,9849000.0,202611216505.0
Công ty Cổ phầnScanviwood,Công ty Cổ phầnScanviwood,Công ty Cổ phầnScanviwood,(iii),34%,1.077.528,5.494.067.622,34%,1.077.528,5.494.067.622,,0.34,1077528.0,5494067622.0,0.34,1077528.0,5494067622.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,234.988.852.857,,,434.925.286.015,,,,234988852857.0,,,434925286015.0
