row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp/cán trừ trong năm,Đơn vị tính: VND > Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp/cán trừ trong năm,numeric__Đơn vị tính: VND > Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,21.981.382.721,220.369.585.306,(169.644.667.670),72.706.300.357,21981382721.0,220369585306.0,-169644667670.0,72706300357.0
Thuế thu nhập doanh nghiệp(Thuyết minh số 28),Phải nộp > Thuế thu nhập doanh nghiệp(Thuyết minh số 28),Thuế thu nhập doanh nghiệp(Thuyết minh số 28),99.327.649.141,177.342.931.117,(103.803.906.725),172.866.673.533,99327649141.0,177342931117.0,-103803906725.0,172866673533.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.219.022.078,17.957.067.607,(16.282.363.502),3.893.726.183,2219022078.0,17957067607.0,-16282363502.0,3893726183.0
Các khoản phải nộp Nhà nước khác,Phải nộp > Các khoản phải nộp Nhà nước khác,Các khoản phải nộp Nhà nước khác,5.778.574.651,211.279.591.856,(12.181.249.026),204.876.917.481,5778574651.0,211279591856.0,-12181249026.0,204876917481.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,129.306.628.591,626.949.175.886,(301.912.186.923),454.343.617.554,129306628591.0,626949175886.0,-301912186923.0,454343617554.0
,,,Số đầu năm,Số phải thu trong năm trong năm,Số đã thu/cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng được khấu trừ,Phải thu > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,136.394.905.445,86.850.505.940,(60.880.004.791),162.365.406.594,136394905445.0,86850505940.0,-60880004791.0,162365406594.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,2.547.248.417,-,(1.097.653.459),1.449.594.958,2547248417.0,,-1097653459.0,1449594958.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,138.942.153.862,86.850.505.940,(61.977.658.250),163.815.001.552,138942153862.0,86850505940.0,-61977658250.0,163815001552.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Thuế và các khoản phải thu Nhà nước,Trong đó: > Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,2.547.248.417,,,1.449.594.958,2547248417.0,,,1449594958.0
