row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm > Giá trị,Đơn vị tính: VND > Dự phòng,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Ông Nguyễn Sơn (i),Ngắn hạn > Ông Nguyễn Sơn (i),Ông Nguyễn Sơn (i),583.000.000.000,-,-,-,583000000000.0,,,
Ứng trước cho Ngân hàng Thương mại,Ứng trước cho Ngân hàng Thương mại,Ứng trước cho Ngân hàng Thương mại,,,,,,,,
Cổ phần Đại Chứng Việt Nam (ii),Ứng trước cho Ngân hàng Thương mại > Cổ phần Đại Chứng Việt Nam (ii),Cổ phần Đại Chứng Việt Nam (ii),232.681.247.878,-,223.040.284.000,-,232681247878.0,,223040284000.0,
Công ty Cổ phần Dịch vụ Kinh Bắc (iii),Ứng trước cho Ngân hàng Thương mại > Công ty Cổ phần Dịch vụ Kinh Bắc (iii),Công ty Cổ phần Dịch vụ Kinh Bắc (iii),252.507.176.408,-,233.506.720.919,-,252507176408.0,,233506720919.0,
Tạm ứng cho nhân viên,Ứng trước cho Ngân hàng Thương mại > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,73.900.914.900,-,35.755.884.861,-,73900914900.0,,35755884861.0,
Phải thu tiền ủy thác đầu tư (iv),Ứng trước cho Ngân hàng Thương mại > Phải thu tiền ủy thác đầu tư (iv),Phải thu tiền ủy thác đầu tư (iv),70.000.000.000,-,-,-,70000000000.0,,,
Công ty Cổ phần Đầu tư Láng Hạ (v),Ứng trước cho Ngân hàng Thương mại > Công ty Cổ phần Đầu tư Láng Hạ (v),Công ty Cổ phần Đầu tư Láng Hạ (v),69.296.882.771,-,26.200.890.711,-,69296882771.0,,26200890711.0,
Công ty Cổ phần Kum-Ba (vi),Ứng trước cho Ngân hàng Thương mại > Công ty Cổ phần Kum-Ba (vi),Công ty Cổ phần Kum-Ba (vi),19.380.035.726,-,43.577.296.000,-,19380035726.0,,43577296000.0,
Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,Ứng trước cho Ngân hàng Thương mại > Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,39.495.534.246,-,26.066.843.836,-,39495534246.0,,26066843836.0,
Sở Kế hoạch và Đầu tư tỉnh Long An (vii),Ứng trước cho Ngân hàng Thương mại > Sở Kế hoạch và Đầu tư tỉnh Long An (vii),Sở Kế hoạch và Đầu tư tỉnh Long An (vii),51.241.500.000,-,-,-,51241500000.0,,,
Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh (viii),Ứng trước cho Ngân hàng Thương mại > Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh (viii),Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh (viii),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Phải thu tiền đặt cọc (ix),Ứng trước cho Ngân hàng Thương mại > Phải thu tiền đặt cọc (ix),Phải thu tiền đặt cọc (ix),12.851.128.404,-,12.851.128.404,-,12851128404.0,,12851128404.0,
Công ty Cổ phần Đầu tư Sài Gòn,Ứng trước cho Ngân hàng Thương mại > Công ty Cổ phần Đầu tư Sài Gòn,Công ty Cổ phần Đầu tư Sài Gòn,-,-,583.000.000.000,-,,,583000000000.0,
Phải thu khác,Ứng trước cho Ngân hàng Thương mại > Phải thu khác,Phải thu khác,82.700.082.795,-,33.781.442.536,-,82700082795.0,,33781442536.0,
Phải thu khác các bên liên quan (Thuyết minh số 29),Ứng trước cho Ngân hàng Thương mại > Phải thu khác các bên liên quan (Thuyết minh số 29),Phải thu khác các bên liên quan (Thuyết minh số 29),127.513.147.201,-,74.835.539.022,-,127513147201.0,,74835539022.0,
TỔNG CỘNG,Ứng trước cho Ngân hàng Thương mại > TỔNG CỘNG,TỔNG CỘNG,1.634.007.650.329,-,1.312.056.030.289,-,1634007650329.0,,1312056030289.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Công ty Cổ phần Dịch vụ Kinh Bắc,Dài hạn > Công ty Cổ phần Dịch vụ Kinh Bắc,Công ty Cổ phần Dịch vụ Kinh Bắc,-,-,126.035.136.906,-,,,126035136906.0,
Công ty Cổ phần Địa ốc Viễn Đông Việt Nam,Dài hạn > Công ty Cổ phần Địa ốc Viễn Đông Việt Nam,Công ty Cổ phần Địa ốc Viễn Đông Việt Nam,500.000.000,-,500.000.000,-,500000000.0,,500000000.0,
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,345.869.861,-,317.575.346,-,345869861.0,,317575346.0,
Phải thu khác các bên liên quan (Thuyết minh số 29),Dài hạn > Phải thu khác các bên liên quan (Thuyết minh số 29),Phải thu khác các bên liên quan (Thuyết minh số 29),40.000.000.000,-,-,-,40000000000.0,,,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,40.845.869.861,-,126.852.712.252,-,40845869861.0,,126852712252.0,
