row_label_raw,row_label_full,Bên liên quan > Vay ngắn hạn (Thuyết minh số 20),Mối quan hệ > Vay ngắn hạn (Thuyết minh số 20),Nội dung nghiệp vụ > Vay ngắn hạn (Thuyết minh số 20),Đơn vị tính: VND > Năm nay > Vay ngắn hạn (Thuyết minh số 20),Đơn vị tính: VND > Năm trước > Vay ngắn hạn (Thuyết minh số 20),numeric__Mối quan hệ > Vay ngắn hạn (Thuyết minh số 20),numeric__Nội dung nghiệp vụ > Vay ngắn hạn (Thuyết minh số 20),numeric__Đơn vị tính: VND > Năm nay > Vay ngắn hạn (Thuyết minh số 20),numeric__Đơn vị tính: VND > Năm trước > Vay ngắn hạn (Thuyết minh số 20)
Công ty Cổ phần Công nghệ Viễn Thông Sài Gòn (i),Công ty Cổ phần Công nghệ Viễn Thông Sài Gòn (i),Công ty Cổ phần Công nghệ Viễn Thông Sài Gòn (i),Công ty liên kết,Vay ngắn hạn,19.000.000.000,-,,,19000000000.0,
Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty có chung thành viên chủ chốt,Vay ngắn hạn,-,100.000.000.000,,,,100000000000.0
,,,,,19.000.000.000,100.000.000.000,,,19000000000.0,100000000000.0
Vay dài hạn (Thuyết minh số 20),Vay dài hạn (Thuyết minh số 20),Vay dài hạn (Thuyết minh số 20),Vay dài hạn (Thuyết minh số 20),Vay dài hạn (Thuyết minh số 20),Vay dài hạn (Thuyết minh số 20),Vay dài hạn (Thuyết minh số 20),,,,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn (ii),Vay dài hạn (Thuyết minh số 20) > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn (ii),Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ cao Sài Gòn (ii),Công ty có chung thành viên chủ chốt,Vay dài hạn,30.000.000.000,30.000.000.000,,,30000000000.0,30000000000.0
,,,,,30.000.000.000,30.000.000.000,,,30000000000.0,30000000000.0
