row_label_raw,row_label_full,Bên liên quan > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Mối quan hệ > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Số cuối năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Số đầu năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),numeric__Mối quan hệ > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),numeric__Số cuối năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 8),numeric__Số đầu năm > Phải thu về cho vay ngắn hạn (Thuyết minh số 8)
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn (*),Công ty Cổ phần Công nghệ Viễn thông Sài Gòn (*),Công ty Cổ phần Công nghệ Viễn thông Sài Gòn (*),Công ty liên kết,Cho vay ngắn hạn,58.647.561.337,21.492.687.097,,,58647561337.0,21492687097.0
,,,,,58.647.561.337,21.492.687.097,,,58647561337.0,21492687097.0
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty liên kết,Góp vốn hợp tác kinh doanh Lãi vay phải thu,-,40.000.000.000,,,,40000000000.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty liên kết,Góp vốn hợp tác kinh doanh Lãi vay phải thu,3.000.054.902,3.794.946.436,,,3000054902.0,3794946436.0
Ông Mai Tuấn Dũng,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Tổng Giám đốc của Công ty con,Tạm ứng,43.085.710.479,25.741.603.866,,,43085710479.0,25741603866.0
Ông Đặng Thành Tâm,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Chủ tịch Hội đồng Quản trị,Tạm ứng,5.100.000.000,-,,,5100000000.0,
Bà Nguyễn Thị Thu Hương,Phải thu ngắn hạn khác (Thuyết minh số 9) > Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Tổng Giám đốc,Tạm ứng,3.489.211.820,3.489.211.820,,,3489211820.0,3489211820.0
Ông Vũ Thanh Dương,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Tổng Giám đốc của công ty con,Tạm ứng,64.973.840.000,1.390.000.000,,,64973840000.0,1390000000.0
Ông Vũ Ngọc Ánh,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Vũ Ngọc Ánh,Ông Vũ Ngọc Ánh,Tổng Giám đốc của Công ty con,Tạm ứng,6.290.000.000,-,,,6290000000.0,
Ông Lê Minh Hà,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Lê Minh Hà,Ông Lê Minh Hà,Phó Tổng Giám đốc của Công ty con,Tạm ứng,1.328.000.000,-,,,1328000000.0,
Bà Nguyễn Mỹ Ngọc,Phải thu ngắn hạn khác (Thuyết minh số 9) > Bà Nguyễn Mỹ Ngọc,Bà Nguyễn Mỹ Ngọc,Phó Tổng Giám đốc,Tạm ứng,136.330.000,309.776.900,,,136330000.0,309776900.0
Ông Phan Anh Dũng,Phải thu ngắn hạn khác (Thuyết minh số 9) > Ông Phan Anh Dũng,Ông Phan Anh Dũng,Phó Tổng Giám đốc,Tạm ứng,110.000.000,110.000.000,,,110000000.0,110000000.0
,,,,,127.513.147.201,74.835.539.022,,,127513147201.0,74835539022.0
