row_label_raw,row_label_full,Dự phòng phải thu ngắn hạn của khách hàng(Thuyết minh 5) > Dự phòng trả trước ngắn hạn cho người bán(Thuyết minh 6) > Dự phòng phải thu ngắn hạn khác (Thuyết minh 7(a)) > Dự phòng tài sản thiếu chờ xử lý (Thuyết minh 9),2017 > Giá gốc VND > 2.679.761.250 > 141.522.563 > 23.466.107.168 > 14.500.395.911,2017 > Giá trị có thể thu hồi VND > -,2017 > Dự phòng VND > (2.679.761.250) > (141.522.563) > (23.466.107.168) > (14.500.395.911),2017 > Số ngày đáo hạn > Trên 1 năm,2016 > Giá gốc VND > 2.679.761.250 > 141.522.563 > 23.466.107.168 > 14.500.395.911,2016 > Giá trị có thể thu hồi VND > -,2016 > Dự phòng VND > (2.679.761.250) > (141.522.563) > (23.466.107.168) > (14.500.395.911),2016 > Số ngày đáo hạn > Trên 1 năm,numeric__2017 > Giá gốc VND > 2.679.761.250 > 141.522.563 > 23.466.107.168 > 14.500.395.911,numeric__2017 > Giá trị có thể thu hồi VND > -,numeric__2017 > Dự phòng VND > (2.679.761.250) > (141.522.563) > (23.466.107.168) > (14.500.395.911),numeric__2017 > Số ngày đáo hạn > Trên 1 năm,numeric__2016 > Giá gốc VND > 2.679.761.250 > 141.522.563 > 23.466.107.168 > 14.500.395.911,numeric__2016 > Giá trị có thể thu hồi VND > -,numeric__2016 > Dự phòng VND > (2.679.761.250) > (141.522.563) > (23.466.107.168) > (14.500.395.911),numeric__2016 > Số ngày đáo hạn > Trên 1 năm
,,,40.787.786.892,-,(40.787.786.892),,40.787.786.892,-,(40.787.786.892),,40787786892.0,,-40787786892.0,,40787786892.0,,-40787786892.0,
(b) Dài hạn,(b) Dài hạn,(b) Dài hạn,2017,2017,2017,2017,2016,2016,2016,2016,2017.0,2017.0,2017.0,2017.0,2016.0,2016.0,2016.0,2016.0
(b) Dài hạn,(b) Dài hạn,(b) Dài hạn,Giá gốc VND,Giá trị có thể thu hồi VND,Dự phòng VND,Số ngày đáo hạn,Giá gốc VND,Giá trị có thể thu hồi VND,Dự phòng VND,Số ngày đáo hạn,,,,,,,,
Dự phòng trái phiếu Tập đoàn kinh tế Vinashin(Thuyết minh 4(a)(ii)),(b) Dài hạn > Dự phòng trái phiếu Tập đoàn kinh tế Vinashin(Thuyết minh 4(a)(ii)),Dự phòng trái phiếu Tập đoàn kinh tế Vinashin(Thuyết minh 4(a)(ii)),20.868.879.905,-,(20.868.879.905),Trên 1 năm,20.868.879.905,-,(20.868.879.905),Trên 1 năm,20868879905.0,,-20868879905.0,,20868879905.0,,-20868879905.0,
Dự phòng phải thu về cho vay dài hạn,(b) Dài hạn > Dự phòng phải thu về cho vay dài hạn,Dự phòng phải thu về cho vay dài hạn,4.000.000.000,-,(4.000.000.000),Trên 1 năm,9.900.000.000,-,(9.900.000.000),Trên 1 năm,4000000000.0,,-4000000000.0,,9900000000.0,,-9900000000.0,
Dự phòng phải thu dài hạn khác (Thuyết minh 7(b)),(b) Dài hạn > Dự phòng phải thu dài hạn khác (Thuyết minh 7(b)),Dự phòng phải thu dài hạn khác (Thuyết minh 7(b)),8.000.000.000,-,(8.000.000.000),Trên 1 năm,8.000.000.000,-,(8.000.000.000),Trên 1 năm,8000000000.0,,-8000000000.0,,8000000000.0,,-8000000000.0,
,,,32.868.879.905,-,(32.868.879.905),,38.768.879.905,-,(38.768.879.905),,32868879905.0,,-32868879905.0,,38768879905.0,,-38768879905.0,
