row_label_raw,row_label_full,"Tại ngày 1 tháng 1 năm 2016(Trình bày lại – Thuyết minh 40) > Lợi nhuận trong năm > Chia cổ tức (Thuyết minh 24) > Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 21)",Vốn góp của chủ sở hữu VND > 6.412.811.860.000 > -,Quỹ đầu tư phát triển VND > 760.819.802.040 > -,Lợi nhuận sau thuế chưa phân phối VND(Trình bày lại – Thuyết minh 40) > 2.831.817.727.401 > 4.122.968.039.671 > (3.847.690.116.000) > (13.571.380.000),Tổng cộng VND > 10.005.449.389.441 > 4.122.968.039.671 > (3.847.690.116.000) > (13.571.380.000),numeric__Vốn góp của chủ sở hữu VND > 6.412.811.860.000 > -,numeric__Quỹ đầu tư phát triển VND > 760.819.802.040 > -,numeric__Lợi nhuận sau thuế chưa phân phối VND(Trình bày lại – Thuyết minh 40) > 2.831.817.727.401 > 4.122.968.039.671 > (3.847.690.116.000) > (13.571.380.000),numeric__Tổng cộng VND > 10.005.449.389.441 > 4.122.968.039.671 > (3.847.690.116.000) > (13.571.380.000)
Điều chỉnh quỹ công tác xã hội,Điều chỉnh quỹ công tác xã hội,Điều chỉnh quỹ công tác xã hội,-,-,(2.262.000.000),(2.262.000.000),,,-2262000000.0,-2262000000.0
"Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 21)",-,-,(192.919.939.999),(192.919.939.999),,,-192919939999.0,-192919939999.0
Trích lập quỹ công tác xã hội,Trích lập quỹ công tác xã hội,Trích lập quỹ công tác xã hội,-,-,(31.737.000.000),(31.737.000.000),,,-31737000000.0,-31737000000.0
Tại ngày 31 tháng 12 năm 2016(Trình bày lại – Thuyết minh 40),Tại ngày 31 tháng 12 năm 2016(Trình bày lại – Thuyết minh 40),Tại ngày 31 tháng 12 năm 2016(Trình bày lại – Thuyết minh 40),6.412.811.860.000,760.819.802.040,2.866.605.331.073,10.040.236.993.113,6412811860000.0,760819802040.0,2866605331073.0,10040236993113.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,4.562.282.809.212,4.562.282.809.212,,,4562282809212.0,4562282809212.0
Chia cổ tức (Thuyết minh 24) (*),Chia cổ tức (Thuyết minh 24) (*),Chia cổ tức (Thuyết minh 24) (*),-,-,(2.244.484.151.000),(2.244.484.151.000),,,-2244484151000.0,-2244484151000.0
"Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 21) (**)","Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 21) (**)","Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 21) (**)",-,-,(65.075.296.000),(65.075.296.000),,,-65075296000.0,-65075296000.0
Điều chỉnh quỹ công tác xã hội (**),Điều chỉnh quỹ công tác xã hội (**),Điều chỉnh quỹ công tác xã hội (**),-,-,(10.892.000.000),(10.892.000.000),,,-10892000000.0,-10892000000.0
"Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 21) (***)","Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 21) (***)","Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 21) (***)",-,-,(127.965.804.585),(127.965.804.585),,,-127965804585.0,-127965804585.0
Trích lập quỹ công tác xã hội (***),Trích lập quỹ công tác xã hội (***),Trích lập quỹ công tác xã hội (***),-,-,(44.536.000.000),(44.536.000.000),,,-44536000000.0,-44536000000.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,6.412.811.860.000,760.819.802.040,4.935.934.888.700,12.109.566.550.740,6412811860000.0,760819802040.0,4935934888700.0,12109566550740.0
