row_label_raw,row_label_full,Chỉ tiêu,Năm nay(Tự lập),Năm nay(Kiểm toán),"Tăng, giảm",Tỷ lệ,numeric__Năm nay(Tự lập),numeric__Năm nay(Kiểm toán),"numeric__Tăng, giảm",numeric__Tỷ lệ
1,1,1,2,3,4=(3-2),5=(4/2),2.0,3.0,,
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,"34,503,890,606,310","34,503,890,606,310",,0%,,,,0.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu > 3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"34,503,890,606,310","34,503,890,606,310",,0%,,,,0.0
4. Giá vốn hàng bán,2. Các khoản giảm trừ doanh thu > 4. Giá vốn hàng bán,4. Giá vốn hàng bán,"29,566,311,610,340","29,588,446,699,863","22,135,089,523",0%,,,,0.0
5. Lợi nhuận gộp bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu > 5. Lợi nhuận gộp bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp bán hàng và cung cấp dịch vụ,"4,937,578,995,970","4,915,443,906,447","(22,135,089,523)",0%,,,,0.0
6. Doanh thu hoạt động tài chính,2. Các khoản giảm trừ doanh thu > 6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,"2,107,043,080,450","2,142,341,449,056","35,298,368,606",2%,,,,0.02
7. Chi phí tài chính,2. Các khoản giảm trừ doanh thu > 7. Chi phí tài chính,7. Chi phí tài chính,"(105,763,010,336)","(50,027,658,964)","55,735,351,372",-53%,,,,-0.53
8. Chi phí bán hàng,2. Các khoản giảm trừ doanh thu > 8. Chi phí bán hàng,8. Chi phí bán hàng,"1,408,080,686,788","1,446,841,604,384","38,760,917,596",3%,,,,0.03
9. Chi phí quản lý doanh nghiệp,2. Các khoản giảm trừ doanh thu > 9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,"344,219,102,913","370,150,098,282","25,930,995,369",8%,,,,0.08
10. Lợi nhuận thuần từ hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu > 10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,"5,398,085,297,055","5,290,821,311,801","(107,263,985,254)",-2%,,,,-0.02
11. Thu nhập khác,2. Các khoản giảm trừ doanh thu > 11. Thu nhập khác,11. Thu nhập khác,"2,310,276,092","2,310,276,092",,0%,,,,0.0
12. Chi phí khác,2. Các khoản giảm trừ doanh thu > 12. Chi phí khác,12. Chi phí khác,"10,148,296,672","10,148,296,672",,0%,,,,0.0
13. Lợi nhuận khác,2. Các khoản giảm trừ doanh thu > 13. Lợi nhuận khác,13. Lợi nhuận khác,"(7,838,020,580)","(7,838,020,580)",,0%,,,,0.0
14. Tổng lợi nhuận kế toán trước thuế,2. Các khoản giảm trừ doanh thu > 14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,"5,390,247,276,475","5,282,983,291,221","(107,263,985,254)",-2%,,,,-0.02
15. Lợi nhuận sau thuế TNDN,2. Các khoản giảm trừ doanh thu > 15. Lợi nhuận sau thuế TNDN,15. Lợi nhuận sau thuế TNDN,"4,641,034,478,737","4,562,282,809,212","(78,751,669,525)",-2%,,,,-0.02
