row_label_raw,row_label_full,col_0,2017VND,2016VND(Trình bày lại – Thuyết minh 40),numeric__2017VND,numeric__2016VND(Trình bày lại – Thuyết minh 40)
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Lợi thế thương mại phát sinh trong quá trình góp vốn đầu tư vào các đơn vị khác,Thu nhập khác > Lợi thế thương mại phát sinh trong quá trình góp vốn đầu tư vào các đơn vị khác,Lợi thế thương mại phát sinh trong quá trình góp vốn đầu tư vào các đơn vị khác,-,24.426.586.800,,24426586800.0
Phải thu hỗ trợ bằng tiền cho các công ty con Chuyển nhượng dự án Nhà máy Bia Sài Gòn – Kiên Giang,Thu nhập khác > Phải thu hỗ trợ bằng tiền cho các công ty con Chuyển nhượng dự án Nhà máy Bia Sài Gòn – Kiên Giang,Phải thu hỗ trợ bằng tiền cho các công ty con Chuyển nhượng dự án Nhà máy Bia Sài Gòn – Kiên Giang,-,10.000.000.000,,10000000000.0
Phải thu hỗ trợ bằng tiền cho các công ty con Chuyển nhượng dự án Nhà máy Bia Sài Gòn – Kiên Giang,Thu nhập khác > Phải thu hỗ trợ bằng tiền cho các công ty con Chuyển nhượng dự án Nhà máy Bia Sài Gòn – Kiên Giang,Phải thu hỗ trợ bằng tiền cho các công ty con Chuyển nhượng dự án Nhà máy Bia Sài Gòn – Kiên Giang,-,9.688.882.754,,9688882754.0
Các khoản khác,Thu nhập khác > Các khoản khác,Các khoản khác,2.310.276.092,5.471.921.192,2310276092.0,5471921192.0
,,,2.310.276.092,49.587.390.746,2310276092.0,49587390746.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Chi phí dự án Nhà máy Bia Sài Gòn - Kiên Giang Khác,Chi phí khác > Chi phí dự án Nhà máy Bia Sài Gòn - Kiên Giang Khác,Chi phí dự án Nhà máy Bia Sài Gòn - Kiên Giang Khác,-,(9.688.882.754),,-9688882754.0
Chi phí dự án Nhà máy Bia Sài Gòn - Kiên Giang Khác,Chi phí khác > Chi phí dự án Nhà máy Bia Sài Gòn - Kiên Giang Khác,Chi phí dự án Nhà máy Bia Sài Gòn - Kiên Giang Khác,(10.148.296.672),(3.876.732.366),-10148296672.0,-3876732366.0
,,,(10.148.296.672),(13.565.615.120),-10148296672.0,-13565615120.0
(Lỗ)/lợi nhuận khác,Chi phí khác > (Lỗ)/lợi nhuận khác,(Lỗ)/lợi nhuận khác,(7.838.020.580),36.021.775.626,-7838020580.0,36021775626.0
