row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2017 VND,Tại ngày 31 tháng 12 năm > 2016 VND(Trình bày lại – Thuyết minh 40),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2017 VND,numeric__Tại ngày 31 tháng 12 năm > 2016 VND(Trình bày lại – Thuyết minh 40)
300,300,300,NỘ PHẢI TRẢ,,5.370.277.081.680,3.425.964.930.845,,,5370277081680.0,3425964930845.0
310,310,310,Nợ ngắn hạn,,5.239.437.665.215,3.320.091.961.422,,,5239437665215.0,3320091961422.0
311,311,311,Phải trả người bán ngắn hạn,17,2.017.620.399.768,1.551.081.121.557,,17.0,2017620399768.0,1551081121557.0
312,312,312,Người mua trả tiền trước ngắn hạn,,3.366.746.525,788.329.086,,,3366746525.0,788329086.0
313,313,313,Thuế và các khoản phải nộp Ngân sách Nhà nước,18,574.189.634.734,410.027.573.389,,18.0,574189634734.0,410027573389.0
314,314,314,Phải trả người lao động,,53.540.955.885,105.953.656.715,,,53540955885.0,105953656715.0
315,315,315,Chi phí phải trả ngắn hạn,19,53.169.977.301,74.886.545.328,,19.0,53169977301.0,74886545328.0
319,319,319,Phải trả ngắn hạn khác,20(a),2.440.537.137.922,988.058.331.719,,,2440537137922.0,988058331719.0
322,322,322,"Quỹ khen thưởng, phúc lợi",21,97.012.813.080,189.296.403.628,,21.0,97012813080.0,189296403628.0
330,330,330,Nợ dài hạn,,130.839.416.465,105.872.969.423,,,130839416465.0,105872969423.0
337,337,337,Phải trả dài hạn khác,20(b),51.602.316.000,51.602.316.000,,,51602316000.0,51602316000.0
342,342,342,Dự phòng phải trả dài hạn,,24.966.447.042,-,,,24966447042.0,
343,343,343,Quỹ phát triển khoa học và công nghệ,,54.270.653.423,54.270.653.423,,,54270653423.0,54270653423.0
400,400,400,VỐN CHỦ SỞ HỮU,,12.109.566.550.740,10.040.236.993.113,,,12109566550740.0,10040236993113.0
410,410,410,Vốn chủ sở hữu,,12.109.566.550.740,10.040.236.993.113,,,12109566550740.0,10040236993113.0
411,411,411,Vốn góp của chủ sở hữu,"22, 23",6.412.811.860.000,6.412.811.860.000,,,6412811860000.0,6412811860000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,6.412.811.860.000,6.412.811.860.000,,,6412811860000.0,6412811860000.0
418,418,418,Quỹ đầu tư phát triển,23,760.819.802.040,760.819.802.040,,23.0,760819802040.0,760819802040.0
421,421,421,Lợi nhuận sau thuế chưa phân phối,23,4.935.934.888.700,2.866.605.331.073,,23.0,4935934888700.0,2866605331073.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế của các năm trước,23,2.790.638.035.073,892.137.789.401,,23.0,2790638035073.0,892137789401.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,23,2.145.296.853.627,1.974.467.541.672,,23.0,2145296853627.0,1974467541672.0
440,440,440,TỔNG NGUỒN VỐN,,17.479.843.632.420,13.466.201.923.958,,,17479843632420.0,13466201923958.0
