row_label_raw,row_label_full,col_0,Tại ngày01.01.2017VND,Số phát sinhtrong nămVND,Số đã thực nộptrong nămVND,Cần trừ/giảm khắctrong nămVND,Tại ngày31.12.2017VND,numeric__Tại ngày01.01.2017VND,numeric__Số phát sinhtrong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Cần trừ/giảm khắctrong nămVND,numeric__Tại ngày31.12.2017VND
a) Phải trả,a) Phải trả,a) Phải trả,a) Phải trả,a) Phải trả,a) Phải trả,a) Phải trả,a) Phải trả,,,,,
Thuế giá trị gia tăng,a) Phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,7.493.301.534,4.604.408.470.077,(811.985.741.581),(3.799.916.030.030),-,7493301534.0,4604408470077.0,-811985741581.0,-3799916030030.0,
Thuế tiêu thụ đặc biệt,a) Phải trả > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,238.954.854.273,2.994.326.009.344,(2.941.236.548.628),-,292.044.314.989,238954854273.0,2994326009344.0,-2941236548628.0,,292044314989.0
Thuế thu nhập doanh nghiệp,a) Phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,155.208.816.985,733.785.378.516,-,(640.736.382.128),248.257.813.373,155208816985.0,733785378516.0,,-640736382128.0,248257813373.0
Thuế thu nhập cá nhân,a) Phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.587.683.601,109.803.841.540,(84.193.228.014),-,32.198.297.127,6587683601.0,109803841540.0,-84193228014.0,,32198297127.0
Thuế xuất nhập khẩu,a) Phải trả > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,25.289.907.019,(25.289.907.019),-,-,,25289907019.0,-25289907019.0,,
Tiền thuế đất,a) Phải trả > Tiền thuế đất,Tiền thuế đất,1.581.049.815,22.198.354.050,(22.198.354.050),-,1.581.049.815,1581049815.0,22198354050.0,-22198354050.0,,1581049815.0
Thuế tài nguyên,a) Phải trả > Thuế tài nguyên,Thuế tài nguyên,14.026.800,356.225.400,(268.208.760),-,102.043.440,14026800.0,356225400.0,-268208760.0,,102043440.0
Thuế khác,a) Phải trả > Thuế khác,Thuế khác,187.840.381,40.153.814,(221.878.205),-,6.115.990,187840381.0,40153814.0,-221878205.0,,6115990.0
,,,410.027.573.389,8.490.208.339.760,(3.885.393.866.257),(4.440.652.412.158),574.189.634.734,410027573389.0,8490208339760.0,-3885393866257.0,-4440652412158.0,574189634734.0
b) Phải thu,b) Phải thu,b) Phải thu,b) Phải thu,b) Phải thu,b) Phải thu,b) Phải thu,b) Phải thu,,,,,
Thuế giá trị gia tăng đầu vào,b) Phải thu > Thuế giá trị gia tăng đầu vào,Thuế giá trị gia tăng đầu vào,9.424.137.131,3.811.377.062.255,-,(3.799.916.030.030),20.885.169.356,9424137131.0,3811377062255.0,,-3799916030030.0,20885169356.0
Thuế thu nhập doanh nghiệpnộp thừa,b) Phải thu > Thuế thu nhập doanh nghiệpnộp thừa,Thuế thu nhập doanh nghiệpnộp thừa,640.736.382.128,-,-,(640.736.382.128),-,640736382128.0,,,-640736382128.0,
Thuế khác,b) Phải thu > Thuế khác,Thuế khác,65.152.414,-,180.443.597,(245.383.287),212.724,65152414.0,,180443597.0,-245383287.0,212724.0
,,,650.225.671.673,3.811.377.062.255,180.443.597,(4.440.897.795.445),20.885.382.080,650225671673.0,3811377062255.0,180443597.0,-4440897795445.0,20885382080.0
