row_label_raw,row_label_full,Mãsố,Khoản mục,Số theo báo cáotrước đãyVND,Trình bày lạiVND,Số liệu trình bày lạiVND,numeric__Khoản mục,numeric__Số theo báo cáotrước đãyVND,numeric__Trình bày lạiVND,numeric__Số liệu trình bày lạiVND
Mãsố,Mãsố,Mãsố,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1,Mãsố > 1,1,Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:,5.095.129.880.016,15.240.892.965,5.110.370.772.981,,5095129880016.0,15240892965.0,5110370772981.0
05,Mãsố > 05,05,Lãi từ hoạt động đầu tư,(1.632.155.143.717),(4.060.524.619),(1.636.215.668.336),,-1632155143717.0,-4060524619.0,-1636215668336.0
08,Mãsố > 08,08,Lợi nhuận từ hoạt động kinh doanh trước thayđổi vốn lưu động,3.698.341.346.718,11.180.368.346,3.709.521.715.064,,3698341346718.0,11180368346.0,3709521715064.0
09,Mãsố > 09,09,Tăng các khoản phải thu,(195.121.260.714),(351.086.615),(195.472.347.329),,-195121260714.0,-351086615.0,-195472347329.0
11,Mãsố > 11,11,Giảm các khoản phải trả,(2.978.307.230.428),(43.070.772.492),(3.021.378.002.920),,-2978307230428.0,-43070772492.0,-3021378002920.0
17,Mãsố > 17,17,Tiền chỉ khác từ hoạt động kinh doanh,(168.270.788.965),32.241.490.761,(136.029.298.204),,-168270788965.0,32241490761.0,-136029298204.0
20,Mãsố > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,(172.524.714.907),-,(172.524.714.907),,-172524714907.0,,-172524714907.0
