row_label_raw,row_label_full,Tên công ty,2017 > Quyền sở hữu và biểu quyết %,2017 > Giá gốc VND,2017 > Giá trị hợp lý VND,2017 > Dự phòng VND,2016 > Quyền sở hữu và biểu quyết %,2016 > Giá gốc VND,2016 > Giá trị hợp lý VND,2016 > Dự phòng VND,numeric__2017 > Quyền sở hữu và biểu quyết %,numeric__2017 > Giá gốc VND,numeric__2017 > Giá trị hợp lý VND,numeric__2017 > Dự phòng VND,numeric__2016 > Quyền sở hữu và biểu quyết %,numeric__2016 > Giá gốc VND,numeric__2016 > Giá trị hợp lý VND,numeric__2016 > Dự phòng VND
Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,"2,31%",216.579.320.000,172.985.865.600,(34.944.167.400),"2,75%",216.579.320.000,62.440.184.736,(154.139.135.264),0.0231,216579320000.0,172985865600.0,-34944167400.0,0.0275,216579320000.0,62440184736.0,-154139135264.0
Ngân hàng Thương mại Cổ phần Đông Á,Ngân hàng Thương mại Cổ phần Đông Á,Ngân hàng Thương mại Cổ phần Đông Á,"0,95%",136.265.460.000,26.823.427.333,(136.265.460.000),"0,95%",136.265.460.000,9.467.092.000,(126.798.368.000),0.0095,136265460000.0,26823427333.0,-136265460000.0,0.0095,136265460000.0,9467092000.0,-126798368000.0
Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,-,-,-,-,"0,47%",36.603.803.243,51.552.459.000,-,,,,,0.004699999999999999,36603803243.0,51552459000.0,
Công ty Cổ phần Bao Bi Sabeco Sông Lam,Công ty Cổ phần Bao Bi Sabeco Sông Lam,Công ty Cổ phần Bao Bi Sabeco Sông Lam,"15,33%",46.000.000.000,(*),-,"15,33%",46.000.000.000,(*),-,0.1533,46000000000.0,,,0.1533,46000000000.0,,
Công ty PVI Sài Gòn,Công ty PVI Sài Gòn,Công ty PVI Sài Gòn,"0,21%",51.475.140.000,15.584.999.400,(35.890.140.600),"0,21%",51.475.140.000,12.089.298.600,(39.385.841.400),0.0021,51475140000.0,15584999400.0,-35890140600.0,0.0021,51475140000.0,12089298600.0,-39385841400.0
Công ty Cổ phần Đầu tư và Phát triển Không Gian ngâm,Công ty Cổ phần Đầu tư và Phát triển Không Gian ngâm,Công ty Cổ phần Đầu tư và Phát triển Không Gian ngâm,"5,29%",23.085.000.000,(*),(23.085.000.000),"5,29%",23.085.000.000,(*),(1.721.774.410),0.0529,23085000000.0,,-23085000000.0,0.0529,23085000000.0,,-1721774410.0
Công ty Cổ phần Đầu tư và Phát triển Không Gian ngâm,Công ty Cổ phần Đầu tư và Phát triển Không Gian ngâm,Công ty Cổ phần Đầu tư và Phát triển Không Gian ngâm,"5,29%",23.085.000.000,(*),(23.085.000.000),"9,8%",30.700.950.000,6.762.000.000,(23.938.950.000),0.0529,23085000000.0,,-23085000000.0,0.098,30700950000.0,6762000000.0,-23938950000.0
Công ty Du lịch Dầu khí Phương Đông,Công ty Du lịch Dầu khí Phương Đông,Công ty Du lịch Dầu khí Phương Đông,"9,8%",30.700.950.000,5.880.000.000,(24.820.950.000),"9,8%",30.700.950.000,6.762.000.000,(23.938.950.000),0.098,30700950000.0,5880000000.0,-24820950000.0,0.098,30700950000.0,6762000000.0,-23938950000.0
Quỹ đầu tư Chứng khoán Sài Gòn A2,Quỹ đầu tư Chứng khoán Sài Gòn A2,Quỹ đầu tư Chứng khoán Sài Gòn A2,10%,51.107.720.722,(*),(35.757.720.722),10%,51.107.720.722,(*),(33.731.120.722),0.1,51107720722.0,,-35757720722.0,0.1,51107720722.0,,-33731120722.0
Công ty Cổ phần Văn tải và Giao nhận Bia Sài Gòn,Công ty Cổ phần Văn tải và Giao nhận Bia Sài Gòn,Công ty Cổ phần Văn tải và Giao nhận Bia Sài Gòn,"13,54%",26.588.267.394,(*),-,"13,54%",26.588.267.394,(*),-,0.1354,26588267394.0,,,0.1354,26588267394.0,,
