row_label_raw,row_label_full,Mã số,Khoản mục,Số theo báo cáo trước đây VND,Trình bày lại VND,Số liệu trình bày lại VND,numeric__Khoản mục,numeric__Số theo báo cáo trước đây VND,numeric__Trình bày lại VND,numeric__Số liệu trình bày lại VND
1,1,1,Doanh thu bán hàng và cung cấp dịch vụ,30.896.051.119.784,(167.029.839),30.895.884.089.945,,30896051119784.0,-167029839.0,30895884089945.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,30.895.499.204.584,(167.029.839),30.895.332.174.745,,30895499204584.0,-167029839.0,30895332174745.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,4.382.063.893.898,(167.029.839),4.381.896.864.059,,4382063893898.0,-167029839.0,4381896864059.0
21,21,21,Doanh thu hoạt động tài chính,1.630.537.132.498,4.060.524.619,1.634.597.657.117,,1630537132498.0,4060524619.0,1634597657117.0
26,26,26,Chi phí quản lý doanh nghiệp,(313.787.919.658),1.028.228.535,(312.759.691.123),,-313787919658.0,1028228535.0,-312759691123.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,5.069.427.274.040,4.921.723.315,5.074.348.997.355,,5069427274040.0,4921723315.0,5074348997355.0
31,31,31,Thu nhập khác,39.268.221.096,10.319.169.650,49.587.390.746,,39268221096.0,10319169650.0,49587390746.0
40,40,40,Lợi nhuận khác,25.702.605.976,10.319.169.650,36.021.775.626,,25702605976.0,10319169650.0,36021775626.0
50,50,50,Tổng lợi nhuận kế toán trước thuế,5.095.129.880.016,15.240.892.965,5.110.370.772.981,,5095129880016.0,15240892965.0,5110370772981.0
51,51,51,Chi phí thuế TNDN hiện hành,(11.032.076.992),(155.208.816.985),(166.240.893.977),,-11032076992.0,-155208816985.0,-166240893977.0
60,60,60,Lợi nhuận sau thuế thu nhập doanh nghiệp,4.262.935.963.691,(139.967.924.020),4.122.968.039.671,,4262935963691.0,-139967924020.0,4122968039671.0
