row_label_raw,row_label_full,TÀI SẢN CỔ ĐỊNH,TÀI SẢN CỔ ĐỊNH_1,TÀI SẢN CỔ ĐỊNH_2,TÀI SẢN CỔ ĐỊNH_3,TÀI SẢN CỔ ĐỊNH_4,TÀI SẢN CỔ ĐỊNH_5,numeric__TÀI SẢN CỔ ĐỊNH_1,numeric__TÀI SẢN CỔ ĐỊNH_2,numeric__TÀI SẢN CỔ ĐỊNH_3,numeric__TÀI SẢN CỔ ĐỊNH_4,numeric__TÀI SẢN CỔ ĐỊNH_5
,,,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Dụng cụquản lýVND,Tổng cộngVND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2017,Nguyên giá > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,567.380.545.080,2.692.515.898.743,49.732.278.903,77.256.105.171,3.386.884.827.897,567380545080.0,2692515898743.0,49732278903.0,77256105171.0,3386884827897.0
Mua mối,Nguyên giá > Mua mối,Mua mối,-,12.824.696.232,6.116.216.730,6.789.110.677,25.730.023.639,,12824696232.0,6116216730.0,6789110677.0,25730023639.0
Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 15),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 15),Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 15),11.209.025.794,3.136.821.783,-,346.958.252,14.692.805.829,11209025794.0,3136821783.0,,346958252.0,14692805829.0
Điều chỉnh khác,Nguyên giá > Điều chỉnh khác,Điều chỉnh khác,10.000,(51.316.000),-,(6.567.000),(57.873.000),10000.0,-51316000.0,,-6567000.0,-57873000.0
Tại ngày 31 tháng 12 năm 2017,Nguyên giá > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,578.589.580.874,2.708.426.100.758,55.848.495.633,84.385.607.100,3.427.249.784.365,578589580874.0,2708426100758.0,55848495633.0,84385607100.0,3427249784365.0
Khẩu hao lũy kê,Khẩu hao lũy kê,Khẩu hao lũy kê,Khẩu hao lũy kê,Khẩu hao lũy kê,Khẩu hao lũy kê,Khẩu hao lũy kê,Khẩu hao lũy kê,,,,,
Tại ngày 1 tháng 1 năm 2017,Khẩu hao lũy kê > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,310.849.165.165,1.829.012.051.602,36.320.858.089,53.004.019.906,2.229.186.094.762,310849165165.0,1829012051602.0,36320858089.0,53004019906.0,2229186094762.0
Khẩu hao trong năm,Khẩu hao lũy kê > Khẩu hao trong năm,Khẩu hao trong năm,37.011.322.325,192.746.395.653,4.160.682.777,9.519.067.705,243.437.468.460,37011322325.0,192746395653.0,4160682777.0,9519067705.0,243437468460.0
Tại ngày 31 tháng 12 năm 2017,Khẩu hao lũy kê > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,347.860.487.490,2.021.758.447.255,40.481.540.866,62.523.087.611,2.472.623.563.222,347860487490.0,2021758447255.0,40481540866.0,62523087611.0,2472623563222.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,256.531.379.915,863.503.847.141,13.411.420.814,24.252.085.265,1.157.698.733.135,256531379915.0,863503847141.0,13411420814.0,24252085265.0,1157698733135.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,230.729.093.384,686.667.653.503,15.366.954.767,21.862.519.489,954.626.221.143,230729093384.0,686667653503.0,15366954767.0,21862519489.0,954626221143.0
