row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2016 VND(Trình bày lại – Thuyết minh 40),numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2016 VND(Trình bày lại – Thuyết minh 40)
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,26,34.503.890.606.310,30.895.884.089.945,,26.0,34503890606310.0,30895884089945.0
02,02,02,Các khoản giảm trừ doanh thu,,-,(551.915.200),,,,-551915200.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,,34.503.890.606.310,30.895.332.174.745,,,34503890606310.0,30895332174745.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,27,(29.588.446.699.863),(26.513.435.310.686),,27.0,-29588446699863.0,-26513435310686.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,4.915.443.906.447,4.381.896.864.059,,,4915443906447.0,4381896864059.0
21,21,21,Doanh thu hoạt động tài chính,28,2.142.341.449.056,1.634.597.657.117,,28.0,2142341449056.0,1634597657117.0
22,22,22,Chi phí tài chính,29,50.027.658.964,20.775.323.891,,29.0,50027658964.0,20775323891.0
25,25,25,Chi phí bán hàng,30,(1.446.841.604.384),(650.161.156.589),,30.0,-1446841604384.0,-650161156589.0
26,26,26,Chi phí quản lý doanh nghiệp,31,(370.150.098.282),(312.759.691.123),,31.0,-370150098282.0,-312759691123.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,5.290.821.311.801,5.074.348.997.355,,,5290821311801.0,5074348997355.0
31,31,31,Thu nhập khác,,2.310.276.092,49.587.390.746,,,2310276092.0,49587390746.0
32,32,32,Chi phí khác,,(10.148.296.672),(13.565.615.120),,,-10148296672.0,-13565615120.0
40,40,40,(Lỗ)/lợi nhuận khác,32,(7.838.020.580),36.021.775.626,,32.0,-7838020580.0,36021775626.0
50,50,50,Tổng lợi nhuận kế toán trước thuế,,5.282.983.291.221,5.110.370.772.981,,,5282983291221.0,5110370772981.0
51,51,51,Chi phí thuế TNDN hiện hành,34,(733.785.378.516),(166.240.893.977),,34.0,-733785378516.0,-166240893977.0
52,52,52,Thu nhập/(chi phí) thuế TNDN hoãn lại,"16, 34",13.084.896.507,(821.161.839.333),,,13084896507.0,-821161839333.0
60,60,60,Lợi nhuận sau thuế TNDN,,4.562.282.809.212,4.122.968.039.671,,,4562282809212.0,4122968039671.0
