row_label_raw,row_label_full,(Theo phương pháp gian tiếp),(Theo phương pháp gian tiếp)_1,(Theo phương pháp gian tiếp)_2,(Theo phương pháp gian tiếp)_3,numeric__(Theo phương pháp gian tiếp)_1,numeric__(Theo phương pháp gian tiếp)_2,numeric__(Theo phương pháp gian tiếp)_3
,,,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm,Năm tài chính kết thúc ngày 31 tháng 12 năm,,,
,,,Thuyết minh,2017 VND,2016 VND (Trình bày lại - Thuyết minh 40),,,
01,01,01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,5.282.983.291.221,5.110.370.772.981,,5282983291221.0,5110370772981.0
02,02,02,"Khẩu hao tài sản cố định (""TSCĐ"") và bất động sản đầu tư",253.988.694.122(22.032.201.776),254.946.117.305(19.487.175.040),,,
03,03,03,Hoàn nhập các khoản dự phòng,,,,,
04,04,04,Lỗ/(lãi) chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tề có gốc ngoại tệ,79.253.350(2.141.713.389.269),(92.331.846)(1.636.215.668.336),,,
05,05,05,Lãi từ hoạt động đầu tư,,,,,
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,3.373.305.647.648(52.854.933.835),3.709.521.715.064(195.472.347.329),,,
09,08 > 09,09,Tăng các khoản phải thu,(1.689.372.857),(12.973.313.994),,-1689372857.0,-12973313994.0
10,08 > 10,10,Tăng hàng tồn kho,(91.685.154.119),(3.021.378.002.920),,-91685154119.0,-3021378002920.0
11,08 > 11,11,Giảm các khoản phải trả,(4.037.943.372),20.306.935.044,,-4037943372.0,20306935044.0
12,08 > 12,12,(Tăng)/giảm chi phí trả trước,,(536.500.402.568),,,-536500402568.0
15,08 > 15,15,Thuế thu nhập doanh nghiệp đã nộp,-,(136.029.298.204),,,-136029298204.0
17,08 > 17,17,Tiền chi khác từ hoạt động kinh doanh,(210.551.412.537),(172.524.714.907),,-210551412537.0,-172524714907.0
20,08 > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,3.012.486.830.928,,,3012486830928.0,
,,,"LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ Chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",(70.241.373.207),(92.578.393.107)33.427.270,,-70241373207.0,
21,21,21,Thu từ thanh lý nhượng bán TSCĐ,,,,,
22,21 > 22,22,Tiền chi gửi ngân hàng có kỳ hạn trên 3 tháng,(7.024.000.000.000),(2.500.000.000.000),,-7024000000000.0,-2500000000000.0
23,23,23,Tiền thu hồi từ tiền gửi ngân hàng có kỳ hạn trên 3 tháng,3.595.900.000.000(40.000.000.000),250.000.000.000(449.947.945.903),,,
24,23 > 24,24,Chi đầu tư góp vốn vào đơn vị khác,66.048.265.300,361.795.050.000,,66048265300.0,361795050000.0
25,23 > 25,25,Thu hồi đầu tư góp vốn vào đơn vị khác,1.970.351.289.322,1.727.870.978.394,,1970351289322.0,1727870978394.0
26,23 > 26,26,"Thu lãi cho vay, cổ tức và lợi nhuận được chia",(1.501.941.818.585),(702.826.883.346),,-1501941818585.0,-702826883346.0
27,27,27,Lưu chuyển tiền thuần từ hoạt động đầu tư,,,,,
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH Cổ tức đã trả cho cổ đông,24,(3.650.107.852.550),,24.0,-3650107852550.0
36,27 > 36,36,Cổ tức đã trả cho cổ đông,(1.008.864.945.050),(3.650.107.852.550),,-1008864945050.0,-3650107852550.0
40,27 > 40,40,Lưu chuyển thuần từ hoạt động tài chính,(1.008.864.945.050),(3.650.107.852.550),,-1008864945050.0,-3650107852550.0
50,27 > 50,50,Lưu chuyển tiền thuần trong năm,501.680.067.293,(4.525.459.450.803),,501680067293.0,-4525459450803.0
60,27 > 60,60,Tiền và tương đương tiền đầu năm,3,6.406.079.584.088,,3.0,6406079584088.0
61,27 > 61,61,Ảnh hưởng của thay đổi tỷ giá hồi đoái quy đổi ngoại tệ,1.787.376,(7.842.056),,1787376.0,-7842056.0
70,27 > 70,70,Tiền và tương đương tiền cuối năm,3,1.880.612.291.229,,3.0,1880612291229.0
