row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*) VND,Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất (*) VND,numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2017,Nguyên giá > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,929.359.796.577,58.566.007.247,987.925.803.824,929359796577.0,58566007247.0,987925803824.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,1.515.000.000,1.515.000.000,,1515000000.0,1515000000.0
Tại ngày 31 tháng 12 năm 2017,Nguyên giá > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,929.359.796.577,60.081.007.247,989.440.803.824,929359796577.0,60081007247.0,989440803824.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2017,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,47.503.328.064,46.101.828.993,93.605.157.057,47503328064.0,46101828993.0,93605157057.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,4.623.371.664,5.534.889.494,10.158.261.158,4623371664.0,5534889494.0,10158261158.0
Tại ngày 31 tháng 12 năm 2017,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,52.126.699.728,51.636.718.487,103.763.418.215,52126699728.0,51636718487.0,103763418215.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,881.856.468.513,12.464.178.254,894.320.646.767,881856468513.0,12464178254.0,894320646767.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,877.233.096.849,8.444.288.760,885.677.385.609,877233096849.0,8444288760.0,885677385609.0
