row_label_raw,row_label_full,Cổ tức phải trả (Thuyết minh 24) (*) > Phải trả Nhà Nước cho phần đánh giá quyền sử dụng đất khi xác định giá trị doanh nghiệp để cổ phần hóa (**),2017VND > 1.443.498.507.825 > 735.379.872.700,2016VND(Trình bày lại – Thuyết minh 40) > 207.879.301.875 > 735.379.872.700,numeric__2017VND > 1.443.498.507.825 > 735.379.872.700,numeric__2016VND(Trình bày lại – Thuyết minh 40) > 207.879.301.875 > 735.379.872.700
Phải trả Qũy hỗ trợ sắp xếp và phát triển doanh nghiệp (***),Phải trả Qũy hỗ trợ sắp xếp và phát triển doanh nghiệp (***),Phải trả Qũy hỗ trợ sắp xếp và phát triển doanh nghiệp (***),109.965.627.840,-,109965627840.0,
Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh 37(b)),Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh 37(b)),Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh 37(b)),99.416.647.405,3.475.310.658,99416647405.0,3475310658.0
Quỹ công tác xã hội,Quỹ công tác xã hội,Quỹ công tác xã hội,22.340.343.864,18.744.225.974,22340343864.0,18744225974.0
Tạm ứng từ việc thanh lý giải thể Quỹ đầu tư Chứng khoán Sài Gòn A2 (****),Tạm ứng từ việc thanh lý giải thể Quỹ đầu tư Chứng khoán Sài Gòn A2 (****),Tạm ứng từ việc thanh lý giải thể Quỹ đầu tư Chứng khoán Sài Gòn A2 (****),15.350.000.000,15.350.000.000,15350000000.0,15350000000.0
Khác,Khác,Khác,14.586.138.288,7.229.620.512,14586138288.0,7229620512.0
,,,2.440.537.137.922,988.058.331.719,2440537137922.0,988058331719.0
