row_label_raw,row_label_full,Mã số,Khoản mục,Theo báo cáo trước đầy VND,Phân loại lại VND,Trình bày lại VND,Số liệu trình bày lại VND,numeric__Khoản mục,numeric__Theo báo cáo trước đầy VND,numeric__Phân loại lại VND,numeric__Trình bày lại VND,numeric__Số liệu trình bày lại VND
100,100,100,TÀI SẢN NGẮN HẠN,7.185.306.536.896,8.144.087.115,4.411.611.234,7.197.862.235.245,,7185306536896.0,8144087115.0,4411611234.0,7197862235245.0
130,130,130,Các khoản phải thu ngắn hạn,1.319.572.867.475,-,4.411.611.234,1.323.984.478.709,,1319572867475.0,,4411611234.0,1323984478709.0
136,136,136,Phải thu ngắn hạn khác,665.076.368.095,-,4.411.611.234,669.487.979.329,,665076368095.0,,4411611234.0,669487979329.0
140,140,140,Hàng tồn kho,387.565.239.047,8.144.087.115,-,395.709.326.162,,387565239047.0,8144087115.0,,395709326162.0
149,149,149,Dự phòng giảm giá hàng tồn kho,(22.700.771.460),8.144.087.115,-,(14.556.684.345),,-22700771460.0,8144087115.0,,-14556684345.0
200,200,200,TÀI SẢN DÀI HẠN,6.276.483.775.828,(8.144.087.115),-,6.268.339.688.713,,6276483775828.0,-8144087115.0,,6268339688713.0
210,210,210,Các khoản phải thu ngắn hạn,341.656.075.565,(20.868.879.905),-,320.787.195.660,,341656075565.0,-20868879905.0,,320787195660.0
219,219,219,Dự phòng phải thu dài hạn khó đòi,(17.900.000.000),(20.868.879.905),,(38.768.879.905),,-17900000000.0,-20868879905.0,,-38768879905.0
250,250,250,Các khoản đầu tư tài chính dài hạn,3.739.661.157.374,20.868.879.905,-,3.760.530.037.279,,3739661157374.0,20868879905.0,,3760530037279.0
254,254,254,Dự phòng đầu tư tài chính dài hạn,(483.224.608.326),20.868.879.905,-,(462.355.728.421),,-483224608326.0,20868879905.0,,-462355728421.0
260,260,260,Tài sản dài hạn khác,109.182.657.427,(8.144.087.115),-,101.038.570.312,,109182657427.0,-8144087115.0,,101038570312.0
263,263,263,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",11.764.390.005,(8.144.087.115),-,3.620.302.890,,11764390005.0,-8144087115.0,,3620302890.0
270,270,270,TỔNG CỘNG TÀI SẢN,13.461.790.312.724,-,4.411.611.234,13.466.201.923.958,,13461790312724.0,,4411611234.0,13466201923958.0
300,300,300,NỘ PHẢI TRẢ,3.281.585.395.591,-,144.379.535.254,3.425.964.930.845,,3281585395591.0,,144379535254.0,3425964930845.0
310,310,310,Nợ ngắn hạn,3.320.091.961.422,-,-,3.320.091.961.422,,3320091961422.0,,,3320091961422.0
311,311,311,Phải trả người bán ngắn hạn,1.407.024.034.688,144.057.086.869,-,1.551.081.121.557,,1407024034688.0,144057086869.0,,1551081121557.0
313,313,313,Thuế và các khoản phải nộp Ngân sách Nhà nước (*),247.158.425.031,-,162.869.148.358,410.027.573.389,,247158425031.0,,162869148358.0,410027573389.0
315,315,315,Chỉ phí phải trả ngắn hạn,218.943.632.197,(144.057.086.869),-,74.886.545.328,,218943632197.0,-144057086869.0,,74886545328.0
319,319,319,Phải trả ngắn hạn khác,1.006.547.944.823,-,(18.489.613.104),988.058.331.719,,1006547944823.0,,-18489613104.0,988058331719.0
400,400,400,VỐN CHỦ SỞ HỮU,10.180.204.917.133,-,(139.967.924.020),10.040.236.993.113,,10180204917133.0,,-139967924020.0,10040236993113.0
410,410,410,Vốn chủ sở hữu,10.180.204.917.133,-,(139.967.924.020),10.040.236.993.113,,10180204917133.0,,-139967924020.0,10040236993113.0
421,421,421,Lợi nhuận sau thuế (“LNST”) chưa phân phối,3.006.573.255.093,-,(139.967.924.020),2.866.605.331.073,,3006573255093.0,,-139967924020.0,2866605331073.0
421a,421a,421a,- LNST chưa phân phối nằm nay,2.114.435.465.692,-,(139.967.924.020),1.974.467.541.672,,2114435465692.0,,-139967924020.0,1974467541672.0
440,440,440,TỔNG CÔNG NGUỒN VỐN,13.461.790.312.724,-,4.411.611.234,13.466.201.923.958,,13461790312724.0,,4411611234.0,13466201923958.0
