row_label_raw,row_label_full,col_0,2017VND,2016VND(Trình bày lại – Thuyết minh 40),numeric__2017VND,numeric__2016VND(Trình bày lại – Thuyết minh 40)
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,183.544.681.914,106.279.140.727,183544681914.0,106279140727.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,78.013.788.499,73.050.313.454,78013788499.0,73050313454.0
Chi phí thuê ngoài,Chi phí thuê ngoài,Chi phí thuê ngoài,25.063.570.481,24.306.954.360,25063570481.0,24306954360.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,14.261.708.087,12.235.870.475,14261708087.0,12235870475.0
Chi phí sửa chữa,Chi phí sửa chữa,Chi phí sửa chữa,1.721.254.403,6.705.382.382,1721254403.0,6705382382.0
Chi phí đào tạo,Chi phí đào tạo,Chi phí đào tạo,5.303.436.965,7.350.475.362,5303436965.0,7350475362.0
Chi phí văn phòng,Chi phí văn phòng,Chi phí văn phòng,9.362.317.957,7.330.878.096,9362317957.0,7330878096.0
Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,5.131.295.468,5.776.444.865,5131295468.0,5776444865.0
Chi phí khác,Chi phí khác,Chi phí khác,47.748.044.508,69.724.231.402,47748044508.0,69724231402.0
,,,370.150.098.282,312.759.691.123,370150098282.0,312759691123.0
