row_label_raw,row_label_full,Tên công ty,Hoạt động chính,2017 > Quyền sở hữu và biểu quyết %,2017 > Giá gốc VND,2017 > Giá trị hợp lý VND,2017 > Dự phòng VND,2016 > Quyền sở hữu và biểu quyết %,2016 > Giá gốc VND,2016 > Giá trị hợp lý VND,2016 > Dự phòng VND,numeric__Hoạt động chính,numeric__2017 > Quyền sở hữu và biểu quyết %,numeric__2017 > Giá gốc VND,numeric__2017 > Giá trị hợp lý VND,numeric__2017 > Dự phòng VND,numeric__2016 > Quyền sở hữu và biểu quyết %,numeric__2016 > Giá gốc VND,numeric__2016 > Giá trị hợp lý VND,numeric__2016 > Dự phòng VND
Công ty Cổ phần Kinh doanh Lương thực Thực phẩm Trường Sa,Công ty Cổ phần Kinh doanh Lương thực Thực phẩm Trường Sa,Công ty Cổ phần Kinh doanh Lương thực Thực phẩm Trường Sa,"Sản xuất sản phẩm nông nghiệp, thực phẩm","28,35%",4.725.000.000,(*),(1.144.281.030),"28,35%",4.725.000.000,(*),(735.405.831),,0.28350000000000003,4725000000.0,,-1144281030.0,0.28350000000000003,4725000000.0,,-735405831.0
Công ty Cổ phần Bia Sài Gòn - Phù Lý (Thuyết minh 4(b)(iii)),Công ty Cổ phần Bia Sài Gòn - Phù Lý (Thuyết minh 4(b)(iii)),Công ty Cổ phần Bia Sài Gòn - Phù Lý (Thuyết minh 4(b)(iii)),"Sản xuất bia, nước khoảng","29,76%",53.379.495.085,(*),-,"29,76%",53.379.495.085,(*),-,,0.29760000000000003,53379495085.0,,,0.29760000000000003,53379495085.0,,
Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,"Sản xuất bia, rượu và nước giải khát",26%,26.000.000.000,(*),-,26%,26.000.000.000,(*),-,,0.26,26000000000.0,,,0.26,26000000000.0,,
Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,"Sản xuất bia, rượu và nước giải khát","27,03%",33.787.500.000,91.361.400.000,-,"27,03%",33.787.500.000,94.672.575.000,-,,0.2703,33787500000.0,91361400000.0,,0.2703,33787500000.0,94672575000.0,
Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,"Sản xuất và kinh doanh bia, rượu, cơn, nước giải khát","32,22%",103.174.711.495,297.753.558.480,-,"32,22%",103.174.711.495,290.444.362.600,-,,0.3222,103174711495.0,297753558480.0,,0.3222,103174711495.0,290444362600.0,
Công ty TNHH Đầu tư Thương mai Tân Thành,Công ty TNHH Đầu tư Thương mai Tân Thành,Công ty TNHH Đầu tư Thương mai Tân Thành,Xây dựng và kinh doanh bất động sản,29%,72.500.000.000,(*),(2.527.972.687),29%,72.500.000.000,(*),(2.233.916.447),,0.29,72500000000.0,,-2527972687.0,0.29,72500000000.0,,-2233916447.0
Công ty Cổ phần Bia Sài Gòn - Ninh Thuận (**)(Thuyết minh 4(b)(iii)),Công ty Cổ phần Bia Sài Gòn - Ninh Thuận (**)(Thuyết minh 4(b)(iii)),Công ty Cổ phần Bia Sài Gòn - Ninh Thuận (**)(Thuyết minh 4(b)(iii)),"Sản xuất bia, rượu và nước giải khát",-,-,(*),-,20%,19.800.000.000,(*),-,,,,,,0.2,19800000000.0,,
Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,"Sản xuất bia, rượu và nước giải khát",20%,30.000.000.000,(*),-,20%,30.000.000.000,(*),-,,0.2,30000000000.0,,,0.2,30000000000.0,,
Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,"Sản xuất và kinh doanh bia, rượu, cơn, nước giải khát",20%,23.000.000.000,(*),-,20%,23.000.000.000,(*),-,,0.2,23000000000.0,,,0.2,23000000000.0,,
Công ty TNHH Trung Tâm Mê Linh,Công ty TNHH Trung Tâm Mê Linh,Công ty TNHH Trung Tâm Mê Linh,Cho thuê và quản lý cao ốc văn phòng,25%,43.111.007.200,(*),-,25%,43.111.007.200,(*),-,,0.25,43111007200.0,,,0.25,43111007200.0,,
