row_label_raw,row_label_full,STT,Tên Công ty,Hoạt động chính,Địa chỉ,Tỷ lệ % quyền biểu quyếtvà tỷ lệ % sở hữu,Tỷ lệ % quyền biểu quyếtvà tỷ lệ % sở hữu_1,numeric__Tên Công ty,numeric__Hoạt động chính,numeric__Địa chỉ,numeric__Tỷ lệ % quyền biểu quyếtvà tỷ lệ % sở hữu,numeric__Tỷ lệ % quyền biểu quyếtvà tỷ lệ % sở hữu_1
STT,STT,STT,Tên Công ty,Hoạt động chính,Địa chỉ,31/12/2022,1/1/2022,,,,,
Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,,,,,
21,Công ty con cấp 1 > 21,21,Công ty Cổ phần Đầu tư Thủy điện Sông Gâm,Sản xuất điện,Cao Bằng,"99,00%","99,00%",,,,0.99,0.99
22,Công ty con cấp 1 > 22,22,Công ty Cổ phần Thiết bị Thương mại,Cho thuê nhà xưởng,Hà Nội,"99,75%","99,75%",,,,0.9975,0.9975
23,Công ty con cấp 1 > 23,23,PC1 Global Trading Pte. Ltd. (*),"Quản lý bắt động sản nhà ở (ngoài hội đồng thành phố),khu dân cư, thương mại và công nghiệp",Singapore,100%,-,,,,1.0,
Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,,,,,
Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,,,,,
1,Công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh > 1,1,Công ty Cổ phần Cột thép Mạ kẽm Thái Nguyên,Sản xuất các loại cột thép mạ kẽm,Thái Nguyên,"90,00%","90,00%",,,,0.9,0.9
Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Mỹ Đình,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Mỹ Đình,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Mỹ Đình,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Mỹ Đình,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Mỹ Đình,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Mỹ Đình,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Mỹ Đình,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Mỹ Đình,,,,,
2,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Mỹ Đình > 2,2,Công ty Cổ phần Thí nghiệm Điện ETIK,"Kiểm định, thử nghiệm, hiệu chỉnh thiết bị dụng cụ điện áp đến 110 kV",Hà Nội,"51,00%","51,00%",,,,0.51,0.51
3,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Mỹ Đình > 3,3,Công ty TNHH MTV Xây lắp Điện 1 - Ninh Bình,Xây lắp điện,Ninh Bình,100%,100%,,,,1.0,1.0
Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Miền Nam,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Miền Nam,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Miền Nam,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Miền Nam,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Miền Nam,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Miền Nam,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Miền Nam,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Miền Nam,,,,,
4,Công ty con của Công ty TNHH MTV Xây lắp Điện 1 - Miền Nam > 4,4,Công ty TNHH MTV Xây lắp Điện 1 - Từ Liêm,Xây lắp điện,Hà Nội,100%,100%,,,,1.0,1.0
Công ty con của PCI Global Trading Pte. Ltd.,Công ty con của PCI Global Trading Pte. Ltd.,Công ty con của PCI Global Trading Pte. Ltd.,Công ty con của PCI Global Trading Pte. Ltd.,Công ty con của PCI Global Trading Pte. Ltd.,Công ty con của PCI Global Trading Pte. Ltd.,Công ty con của PCI Global Trading Pte. Ltd.,Công ty con của PCI Global Trading Pte. Ltd.,,,,,
5,Công ty con của PCI Global Trading Pte. Ltd. > 5,5,Công ty Phát triển Khu Công nghiệp Nhật Bản - Hải Phòng,"Đầu tư, xây dựng và kinh doanh cơ sở hạ tầng, tiện ích,dịch vụ của khu công nghiệp",Hải Phòng,"70,00%",-,,,,0.7,
