row_label_raw,row_label_full,col_0,Xây lắp VND,Sản xuất công nghiệp VND,Bất động sản VND,Năng lượng VND,Bán hàng VND,"Khai thác, vận hành khu công nghiệp VND",Các hoạt động khác VND,Hợp nhất VND,numeric__Xây lắp VND,numeric__Sản xuất công nghiệp VND,numeric__Bất động sản VND,numeric__Năng lượng VND,numeric__Bán hàng VND,"numeric__Khai thác, vận hành khu công nghiệp VND",numeric__Các hoạt động khác VND,numeric__Hợp nhất VND
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,,,,,,,,
Tài sản của bộ phận Tài sản không phân bổ,Tại ngày 31 tháng 12 năm 2022 > Tài sản của bộ phận Tài sản không phân bổ,Tài sản của bộ phận Tài sản không phân bổ,2.662.042.525.503,511.746.397.077,710.323.887.478,10.073.219.742.757,246.776.792.320,869.204.133.809,2.602.767.233.974,17.676.080.712.9184.078.332.805.460,2662042525503.0,511746397077.0,710323887478.0,10073219742757.0,246776792320.0,869204133809.0,2602767233974.0,1.767608071291841e+26
Tổng tài sản,Tại ngày 31 tháng 12 năm 2022 > Tổng tài sản,Tổng tài sản,,,,,,,,21.754.413.518.378,,,,,,,,21754413518378.0
Nợ phải trả của bộ phận Nợ phải trả không phân bổ,Tại ngày 31 tháng 12 năm 2022 > Nợ phải trả của bộ phận Nợ phải trả không phân bổ,Nợ phải trả của bộ phận Nợ phải trả không phân bổ,1.506.433.619.992,396.678.745.168,40.670.230.886,7.206.084.093.389,101.411.833.953,36.697.451.834,1.044.465.297.287,10.332.441.272.5094.249.226.162.498,1506433619992.0,396678745168.0,40670230886.0,7206084093389.0,101411833953.0,36697451834.0,1044465297287.0,1.0332441272509425e+26
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2022 > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,14.581.667.435.007,,,,,,,,14581667435007.0
Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,,,,,,,,
Chỉ tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao tài sản cố định hữu hình thuê tài chính Khấu hao bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Chỉ tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao tài sản cố định hữu hình thuê tài chính Khấu hao bất động sản đầu tư,Chỉ tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao tài sản cố định hữu hình thuê tài chính Khấu hao bất động sản đầu tư,55.653.234.091,2.914.690.127,-,21.652.066.667,-,-,1.036.077.506.014,1.116.297.496.899,55653234091.0,2914690127.0,,21652066667.0,,,1036077506014.0,1116297496899.0
Chỉ tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao tài sản cố định hữu hình thuê tài chính Khấu hao bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Chỉ tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao tài sản cố định hữu hình thuê tài chính Khấu hao bất động sản đầu tư,Chỉ tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao tài sản cố định hữu hình thuê tài chính Khấu hao bất động sản đầu tư,15.128.728.418,11.194.443.974,1.226.519.538,492.912.220.144,-,2.724.348.163,4.448.041.182,527.634.301.419,15128728418.0,11194443974.0,1226519538.0,492912220144.0,,2724348163.0,4448041182.0,527634301419.0
Chỉ tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao tài sản cố định hữu hình thuê tài chính Khấu hao bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Chỉ tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao tài sản cố định hữu hình thuê tài chính Khấu hao bất động sản đầu tư,Chỉ tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao tài sản cố định hữu hình thuê tài chính Khấu hao bất động sản đầu tư,331.743.603,-,-,-,-,2.546.721.068,45.493.471.167,48.371.935.838,331743603.0,,,,,2546721068.0,45493471167.0,48371935838.0
Chỉ tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao tài sản cố định hữu hình thuê tài chính Khấu hao bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Chỉ tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao tài sản cố định hữu hình thuê tài chính Khấu hao bất động sản đầu tư,Chỉ tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao tài sản cố định hữu hình thuê tài chính Khấu hao bất động sản đầu tư,171.296.766,-,-,-,-,-,-,171.296.766,171296766.0,,,,,,,171296766.0
