row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2022VND,1/1/2022VND,,
"Zhongtian Technology Submarine Cable Co., Ltd.","Zhongtian Technology Submarine Cable Co., Ltd.","Zhongtian Technology Submarine Cable Co., Ltd.",124.684.713.236,-,124684713236.0,
Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,88.085.345.260,66.264.776.820,88085345260.0,66264776820.0
Công ty TNHH Vestas Wind Technology Việt Nam,Công ty TNHH Vestas Wind Technology Việt Nam,Công ty TNHH Vestas Wind Technology Việt Nam,60.091.398.148,-,60091398148.0,
Công ty Cổ phần Sông Đà 5,Công ty Cổ phần Sông Đà 5,Công ty Cổ phần Sông Đà 5,26.694.392.913,71.878.835.080,26694392913.0,71878835080.0
Vestas Asia Pacific A/S,Vestas Asia Pacific A/S,Vestas Asia Pacific A/S,1.653.694.437,239.713.062.923,1653694437.0,239713062923.0
Công ty TNHH Thương mại Đức Giang,Công ty TNHH Thương mại Đức Giang,Công ty TNHH Thương mại Đức Giang,931.640.908,112.758.129.401,931640908.0,112758129401.0
Tổng Công ty Khoáng sản TKV - CTCP,Tổng Công ty Khoáng sản TKV - CTCP,Tổng Công ty Khoáng sản TKV - CTCP,-,125.192.185.800,,125192185800.0
Khác,Khác,Khác,982.820.577.610,1.140.548.862.026,982820577610.0,1140548862026.0
,,,1.284.961.762.512,1.756.355.852.050,1284961762512.0,1756355852050.0
