row_label_raw,row_label_full,col_0,Xây lắp VND,Sản xuất công nghiệp VND,Bất động sản VND,Năng lượng VND,Bán hàng VND,"Khai thác, vận hành khu công nghiệp VND",Các hoạt động khác VND,Loại trừ VND,Hợp nhất VND,numeric__Xây lắp VND,numeric__Sản xuất công nghiệp VND,numeric__Bất động sản VND,numeric__Năng lượng VND,numeric__Bán hàng VND,"numeric__Khai thác, vận hành khu công nghiệp VND",numeric__Các hoạt động khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,Cho năm kết thúc ngày 31 tháng 12 năm 2022,,,,,,,,,
Doanh thu hợp nhất của bộ phân,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Doanh thu hợp nhất của bộ phân,Doanh thu hợp nhất của bộ phân,6.514.601.784.581,829.168.796.030,140.020.623.138,1.795.472.621.931,997.290.682.752,79.567.779.381,67.091.762.963,(2.065.611.580.452),8.357.602.470.324,6514601784581.0,829168796030.0,140020623138.0,1795472621931.0,997290682752.0,79567779381.0,67091762963.0,-2065611580452.0,8357602470324.0
Giá vốn hàng bán bộ phân,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Giá vốn hàng bán bộ phân,Giá vốn hàng bán bộ phân,(5.762.573.128.910),(763.191.104.223),(81.657.085.619),(843.809.500.492),(973.894.784.944),(63.735.615.998),(61.786.609.977),1.787.552.305.318,(6.763.095.524.845),-5762573128910.0,-763191104223.0,-81657085619.0,-843809500492.0,-973894784944.0,-63735615998.0,-61786609977.0,1787552305318.0,-6763095524845.0
Kết quả kinh doanh của bộ phân,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Kết quả kinh doanh của bộ phân,Kết quả kinh doanh của bộ phân,752.028.655.671,65.977.691.807,58.363.537.519,951.663.121.439,23.395.897.808,15.832.163.383,5.305.152.986,(278.059.275.134),1.594.506.945.479,752028655671.0,65977691807.0,58363537519.0,951663121439.0,23395897808.0,15832163383.0,5305152986.0,-278059275134.0,1594506945479.0
Chi phí bán hàng,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Chi phí bán hàng,Chi phí bán hàng,,,,,,,,,8.391.008.009,,,,,,,,,8391008009.0
Chi phí quản lý doanh nghiệp,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,,,(285.281.303.728),,,,,,,,,-285281303728.0
Doanh thu hoạt động tài chính,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,,95.203.791.873,,,,,,,,,95203791873.0
Chi phí tài chính,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Chi phí tài chính,Chi phí tài chính,,,,,,,,,(766.697.259.907),,,,,,,,,-766697259907.0
Phân lỗ trong công ty liên kết,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Phân lỗ trong công ty liên kết,Phân lỗ trong công ty liên kết,,,,,,,,,697.381.631,,,,,,,,,697381631.0
Kết quả từ hoạt động khác,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Kết quả từ hoạt động khác,Kết quả từ hoạt động khác,,,,,,,,,(41.375.619.762),,,,,,,,,-41375619762.0
Chi phí TNDN,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Chi phí TNDN,Chi phí TNDN,,,,,,,,,(68.513.039.872),,,,,,,,,-68513039872.0
Lợi nhuận sau thuế TNDN,Cho năm kết thúc ngày 31 tháng 12 năm 2022 > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,,536.931.903.723,,,,,,,,,536931903723.0
