row_label_raw,row_label_full,col_0,Quyền khai thác khoáng sản VND,"Quyền khai thác, vận hành khu công nghiệp NHIZ VND",Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Khác VND,Tổng cộng VND,numeric__Quyền khai thác khoáng sản VND,"numeric__Quyền khai thác, vận hành khu công nghiệp NHIZ VND",numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,977.536.296.866,-,1.108.070.000,2.482.306.000,147.226.364,981.273.899.230,977536296866.0,,1108070000.0,2482306000.0,147226364.0,981273899230.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,1.186.000.000,71.664.000,-,1.257.664.000,,,1186000000.0,71664000.0,,1257664000.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,-,385.284.021.525,15.560.227.188,2.584.636.600,-,403.428.885.313,,385284021525.0,15560227188.0,2584636600.0,,403428885313.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,-,-,41.894.545,-,(41.894.545),-,,,41894545.0,,-41894545.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,977.536.296.866,385.284.021.525,17.896.191.733,5.138.606.600,105.331.819,1.385.960.448.543,977536296866.0,385284021525.0,17896191733.0,5138606600.0,105331819.0,1385960448543.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,24.627.852.440,-,-,1.425.273.626,129.719.158,26.182.845.224,24627852440.0,,,1425273626.0,129719158.0,26182845224.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,45.466.804.505,2.479.857.547,53.352.410,371.921.376,-,48.371.935.838,45466804505.0,2479857547.0,53352410.0,371921376.0,,48371935838.0
Tăng do mua công ty con,Giá trị hao mòn lũy kế > Tăng do mua công ty con,Tăng do mua công ty con,-,-,7.356.833.715,2.428.082.411,-,9.784.916.126,,,7356833715.0,2428082411.0,,9784916126.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,-,-,(238.188.275),(32.507.206),(24.387.339),(295.082.820),,,-238188275.0,-32507206.0,-24387339.0,-295082820.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,70.094.656.945,2.479.857.547,7.171.997.850,4.192.770.207,105.331.819,84.044.614.368,70094656945.0,2479857547.0,7171997850.0,4192770207.0,105331819.0,84044614368.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,952.908.444.426,-,1.108.070.000,1.057.032.374,17.507.206,955.091.054.006,952908444426.0,,1108070000.0,1057032374.0,17507206.0,955091054006.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,907.441.639.921,382.804.163.978,10.724.193.883,945.836.393,-,1.301.915.834.175,907441639921.0,382804163978.0,10724193883.0,945836393.0,,1301915834175.0
