row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Dụng cụvăn phòngVND,Tài sản cố địnhhữu hình khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Dụng cụvăn phòngVND,numeric__Tài sản cố địnhhữu hình khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.266.759.558.192,6.726.874.367.633,216.567.868.260,12.985.935.245,1.805.125.142,10.224.992.854.472,3266759558192.0,6726874367633.0,216567868260.0,12985935245.0,1805125142.0,10224992854472.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,2.412.517.800,8.833.871.945,896.913.127,3.009.019.960,57.200.000,15.209.522.832,2412517800.0,8833871945.0,896913127.0,3009019960.0,57200000.0,15209522832.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,44.149.591.663,33.640.549.723,14.810.958.592,2.116.550.705,209.786.787,94.927.437.470,44149591663.0,33640549723.0,14810958592.0,2116550705.0,209786787.0,94927437470.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,366.096.827.357,161.728.664.507,210.642.116.711,5.011.975.806,51.082.145.741,794.561.730.122,366096827357.0,161728664507.0,210642116711.0,5011975806.0,51082145741.0,794561730122.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(59.276.840),(1.394.450.000),(7.377.681.020),(114.840.909),-,(8.946.248.769),-59276840.0,-1394450000.0,-7377681020.0,-114840909.0,,-8946248769.0
Giảm do quyết toán,Nguyên giá > Giảm do quyết toán,Giảm do quyết toán,(60.821.875.217),(196.380.293.915),(399.871.710),-,-,(257.602.040.842),-60821875217.0,-196380293915.0,-399871710.0,,,-257602040842.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,8.595.072,(74.745.072),-,-,-,(66.150.000),8595072.0,-74745072.0,,,,-66150000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.618.545.938.027,6.733.227.964.821,435.140.303.960,23.008.640.807,53.154.257.670,10.863.077.105.285,3618545938027.0,6733227964821.0,435140303960.0,23008640807.0,53154257670.0,10863077105285.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,341.741.695.956,569.260.101.885,97.799.209.594,9.668.261.090,1.215.671.347,1.019.684.939.872,341741695956.0,569260101885.0,97799209594.0,9668261090.0,1215671347.0,1019684939872.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,129.347.716.606,374.508.423.543,21.135.857.031,1.488.486.654,1.153.817.585,527.634.301.419,129347716606.0,374508423543.0,21135857031.0,1488486654.0,1153817585.0,527634301419.0
Tăng do mua công ty con,Giá trị hao mòn lũy kế > Tăng do mua công ty con,Tăng do mua công ty con,321.451.755.046,160.942.118.551,202.341.863.882,4.802.412.987,38.380.599.443,727.918.749.909,321451755046.0,160942118551.0,202341863882.0,4802412987.0,38380599443.0,727918749909.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(59.276.840),(1.071.366.667),(7.137.334.246),(114.840.909),-,(8.382.818.662),-59276840.0,-1071366667.0,-7137334246.0,-114840909.0,,-8382818662.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,(8.594.982),(20.622.392),(4.000.000),15.000.000,7.532.244,(10.685.130),-8594982.0,-20622392.0,-4000000.0,15000000.0,7532244.0,-10685130.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,792.473.295.786,1.103.618.654.920,314.135.596.261,15.859.319.822,40.757.620.619,2.266.844.487.408,792473295786.0,1103618654920.0,314135596261.0,15859319822.0,40757620619.0,2266844487408.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.925.017.862.236,6.157.614.265.748,118.768.658.666,3.317.674.155,589.453.795,9.205.307.914.600,2925017862236.0,6157614265748.0,118768658666.0,3317674155.0,589453795.0,9205307914600.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.826.072.642.241,5.629.609.309.901,121.004.707.699,7.149.320.985,12.396.637.051,8.596.232.617.877,2826072642241.0,5629609309901.0,121004707699.0,7149320985.0,12396637051.0,8596232617877.0
