row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi số trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,201.013.720.697,-,201.013.720.697,201013720697.0,,201013720697.0
Dầu tư tài chính ngắn hạn,Dầu tư tài chính ngắn hạn,Dầu tư tài chính ngắn hạn,458.457.975.306,-,458.457.975.306,458457975306.0,,458457975306.0
Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,27.049.621.126,(26.138.816),27.023.482.310,27049621126.0,-26138816.0,27023482310.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,5.115.619.517,3.037.144.483,8.152.764.000,5115619517.0,3037144483.0,8152764000.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,14.404.009.732,-,14.404.009.732,14404009732.0,,14404009732.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,66.642.980.213,-,66.642.980.213,66642980213.0,,66642980213.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,8.359.947.662,385.284.021.525,393.643.969.187,8359947662.0,385284021525.0,393643969187.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,60.376.017.694,-,60.376.017.694,60376017694.0,,60376017694.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,6.999.141.000,-,6.999.141.000,6999141000.0,,6999141000.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,4.240.561.749,-,4.240.561.749,4240561749.0,,4240561749.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,7.355.657.756,-,7.355.657.756,7355657756.0,,7355657756.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(20.532.183.930),-,(20.532.183.930),-20532183930.0,,-20532183930.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,(12.194.755.744),(38.832.116.601),(51.026.872.345),-12194755744.0,-38832116601.0,-51026872345.0
Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,(247.477.805.623),(104.838.873.177),(352.316.678.800),-247477805623.0,-104838873177.0,-352316678800.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,579.810.507.155,244.624.037.414,824.434.544.569,579810507155.0,244624037414.0,824434544569.0
Lợi thể thương mại phát sinh từ việc mua lại,Lợi thể thương mại phát sinh từ việc mua lại,Lợi thể thương mại phát sinh từ việc mua lại,,,19.614.719.822,,,19614719822.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,844.049.264.391,,,844049264391.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,201.013.720.697,,,201013720697.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,643.035.543.694,,,643035543694.0
