row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Chung cư cho thuê VND,Nhà xưởng tiêu chuẩn cho thuê VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Chung cư cho thuê VND,numeric__Nhà xưởng tiêu chuẩn cho thuê VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,-,276.243.994.329,-,276.243.994.329,,276243994329.0,,276243994329.0
Tăng do mua công ty con,Nguyên giá > Tăng do mua công ty con,Tăng do mua công ty con,6.863.258.867,-,395.357.617.000,402.220.875.867,6863258867.0,,395357617000.0,402220875867.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,-,2.888.096.135,-,2.888.096.135,,2888096135.0,,2888096135.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.863.258.867,279.132.090.464,395.357.617.000,681.352.966.331,6863258867.0,279132090464.0,395357617000.0,681352966331.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,55.156.703.071,-,55.156.703.071,,55156703071.0,,55156703071.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,24.401.011,11.661.217.284,1.830.359.372,13.515.977.667,24401011.0,11661217284.0,1830359372.0,13515977667.0
Tăng do mua công ty con,Giá trị hao mòn lũy kế > Tăng do mua công ty con,Tăng do mua công ty con,3.118.512.711,-,338.726.345.462,341.844.858.173,3118512711.0,,338726345462.0,341844858173.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,(212.348.843),-,(1.489.541),(213.838.384),-212348843.0,,-1489541.0,-213838384.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.930.564.879,66.817.920.355,340.555.215.293,410.303.700.527,2930564879.0,66817920355.0,340555215293.0,410303700527.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,221.087.291.258,-,221.087.291.258,,221087291258.0,,221087291258.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.932.693.988,212.314.170.109,54.802.401.707,271.049.265.804,3932693988.0,212314170109.0,54802401707.0,271049265804.0
