row_label_raw,row_label_full,col_0,Xây lắp VND,Sản xuất công nghiệp VND,Bất động sản VND,Năng lượng VND,Bán hàng VND,Các hoạt động khác VND,Loại trừ VND,Hợp nhất VND,numeric__Xây lắp VND,numeric__Sản xuất công nghiệp VND,numeric__Bất động sản VND,numeric__Năng lượng VND,numeric__Bán hàng VND,numeric__Các hoạt động khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,,,,,,,,
Doanh thu hợp nhất của bộ phân,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Doanh thu hợp nhất của bộ phân,Doanh thu hợp nhất của bộ phân,13.230.951.027.838,1.211.999.275.278,110.705.083.354,988.817.555.118,1.555.426.700.688,69.238.615.855,(7.338.675.077.756),9.828.463.180.375,13230951027838.0,1211999275278.0,110705083354.0,988817555118.0,1555426700688.0,69238615855.0,-7338675077756.0,9828463180375.0
Giá vốn hàng bán bộ phân,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Giá vốn hàng bán bộ phân,Giá vốn hàng bán bộ phân,(13.010.421.931.654),(1.071.957.305.839),(71.088.926.226),(459.133.111.825),(1.529.572.492.753),(63.447.446.844),7.532.692.449.444,(8.672.928.765.697),-13010421931654.0,-1071957305839.0,-71088926226.0,-459133111825.0,-1529572492753.0,-63447446844.0,7532692449444.0,-8672928765697.0
Kết quả kinh doanh của bộ phân,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Kết quả kinh doanh của bộ phân,Kết quả kinh doanh của bộ phân,220.529.096.184,140.041.969.439,39.616.157.128,529.684.443.293,25.854.207.935,5.791.169.011,194.017.371.688,1.155.534.414.678,220529096184.0,140041969439.0,39616157128.0,529684443293.0,25854207935.0,5791169011.0,194017371688.0,1155534414678.0
Chi phí bán hàng,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Chi phí bán hàng,Chi phí bán hàng,,,,,,,,(55.977.596.827),,,,,,,,-55977596827.0
Chi phí quản lý doanh nghiệp,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,,(240.797.400.424),,,,,,,,-240797400424.0
Doanh thu hoạt động tài chính,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,319.482.922.820,,,,,,,,319482922820.0
Chi phí tài chính,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Chi phí tài chính,Chi phí tài chính,,,,,,,,(359.192.614.340),,,,,,,,-359192614340.0
Phân lãi trong công ty liên kết,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Phân lãi trong công ty liên kết,Phân lãi trong công ty liên kết,,,,,,,,85.597.674.855,,,,,,,,85597674855.0
Kết quả từ hoạt động khác,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Kết quả từ hoạt động khác,Kết quả từ hoạt động khác,,,,,,,,(8.174.598.968),,,,,,,,-8174598968.0
Chi phí thuê TNDN,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Chi phí thuê TNDN,Chi phí thuê TNDN,,,,,,,,(132.182.835.204),,,,,,,,-132182835204.0
Lợi nhuận sau thuê TNDN,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Lợi nhuận sau thuê TNDN,Lợi nhuận sau thuê TNDN,,,,,,,,764.289.966.590,,,,,,,,764289966590.0
