row_label_raw,row_label_full,col_0,1/1/2022,1/1/2022_1,Số phải nộp trong năm,Số (đã nộp)/bù trừ trong năm,Tăng phải trả/(phải thu) do mua công ty con,31/12/2022,31/12/2022_1,numeric__1/1/2022,numeric__1/1/2022_1,numeric__Số phải nộp trong năm,numeric__Số (đã nộp)/bù trừ trong năm,numeric__Tăng phải trả/(phải thu) do mua công ty con,numeric__31/12/2022,numeric__31/12/2022_1
,,,Số phải thu VND(1),Số phải nộp VND(2),VND(3),VND(4),VND(5),Số phải thu VND(6) = (1) + (2) + (3) + (4) + (5) - (7),Số phải nộp VND(7) = (1) + (2) + (3) + (4) + (5) - (6),,,,,,,
Thuế giá trị gia tăng (*),Thuế giá trị gia tăng (*),Thuế giá trị gia tăng (*),(92.100.000),28.880.878.443,236.604.672.629,(247.471.160.521),-,(20.743.767),17.943.034.318,-92100000.0,28880878443.0,236604672629.0,-247471160521.0,,-20743767.0,17943034318.0
"Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu",(1.353.000.000),-,705.660.923,647.339.077,-,-,-,-1353000000.0,,705660923.0,647339077.0,,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(1.043.518.596),22.636.567.695,133.948.375.022,(82.088.818.415),4.214.417.862,(778.737.801),78.445.761.369,-1043518596.0,22636567695.0,133948375022.0,-82088818415.0,4214417862.0,-778737801.0,78445761369.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,(104.432.520),731.111.419,16.978.841.376,(16.279.427.045),(1.645.110.326),(1.544.941.908),1.225.924.812,-104432520.0,731111419.0,16978841376.0,-16279427045.0,-1645110326.0,-1544941908.0,1225924812.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,2.112.922.215,62.330.561.150,(62.229.982.535),-,-,2.213.500.830,,2112922215.0,62330561150.0,-62229982535.0,,,2213500830.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",(826.033.712),-,7.368.440.893,(6.871.305.801),-,(328.898.620),-,-826033712.0,,7368440893.0,-6871305801.0,,-328898620.0,
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,-,893.591.080,(708.568.080),-,-,185.023.000,,,893591080.0,-708568080.0,,,185023000.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,136.034.895,33.079.305.123,(33.160.497.782),-,-,54.842.236,,136034895.0,33079305123.0,-33160497782.0,,,54842236.0
"Phí, lệ phí và các khoản khác","Phí, lệ phí và các khoản khác","Phí, lệ phí và các khoản khác",-,3.377.949.646,28.774.637.926,(29.757.977.695),-,-,2.394.609.877,,3377949646.0,28774637926.0,-29757977695.0,,,2394609877.0
,,,(3.419.084.828),57.875.464.313,520.684.086.122,(477.920.398.797),2.569.307.536,(2.673.322.096),102.462.696.442,-3419084828.0,57875464313.0,520684086122.0,-477920398797.0,2569307536.0,-2673322096.0,102462696442.0
