row_label_raw,row_label_full,col_0,Xây lắp VND,Sản xuất công nghiệp VND,Bất động sản VND,Năng lượng VND,Bán hàng VND,Các hoạt động khác VND,Hợp nhất VND,numeric__Xây lắp VND,numeric__Sản xuất công nghiệp VND,numeric__Bất động sản VND,numeric__Năng lượng VND,numeric__Bán hàng VND,numeric__Các hoạt động khác VND,numeric__Hợp nhất VND
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,,,,,,,
Tài sản của bộ phận Tài sản không phân bổ,Tại ngày 1 tháng 1 năm 2022 > Tài sản của bộ phận Tài sản không phân bổ,Tài sản của bộ phận Tài sản không phân bổ,2.360.048.868.270,684.594.105.888,467.836.869.912,10.475.574.057.746,445.059.547.639,1.511.432.400.237,15.944.545.849.6922.742.489.567.835,2360048868270.0,684594105888.0,467836869912.0,10475574057746.0,445059547639.0,1511432400237.0,1.5944545849692275e+26
Tổng tài sản,Tại ngày 1 tháng 1 năm 2022 > Tổng tài sản,Tổng tài sản,,,,,,,18.687.035.417.527,,,,,,,18687035417527.0
Nợ phải trả của bộ phận Nợ phải trả không phân bổ,Tại ngày 1 tháng 1 năm 2022 > Nợ phải trả của bộ phận Nợ phải trả không phân bổ,Nợ phải trả của bộ phận Nợ phải trả không phân bổ,1.788.238.949.161,582.456.354.996,62.957.951.578,7.286.214.138.065,272.085.175.511,161.811.228.106,10.153.763.797.4172.252.435.577.871,1788238949161.0,582456354996.0,62957951578.0,7286214138065.0,272085175511.0,161811228106.0,1.0153763797417225e+26
Tổng nợ phải trả,Tại ngày 1 tháng 1 năm 2022 > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,12.406.199.375.288,,,,,,,12406199375288.0
Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,,,,,,,
Chi tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Chi tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao bất động sản đầu tư,Chi tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao bất động sản đầu tư,15.279.399.616,10.250.570.188,11.363.805.796,5.434.531.262.369,-,9.785.297.222,5.481.210.335.191,15279399616.0,10250570188.0,11363805796.0,5434531262369.0,,9785297222.0,5481210335191.0
Chi tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Chi tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao bất động sản đầu tư,Chi tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao bất động sản đầu tư,4.657.993.397,3.903.117.443,635.178.715,279.438.298.293,-,18.412.450,288.653.000.298,4657993397.0,3903117443.0,635178715.0,279438298293.0,,18412450.0,288653000298.0
Chi tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Chi tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao bất động sản đầu tư,Chi tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao bất động sản đầu tư,249.331.504,243.314.830,-,-,-,24.570.162.056,25.062.808.390,249331504.0,243314830.0,,,,24570162056.0,25062808390.0
Chi tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Chi tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao bất động sản đầu tư,Chi tiêu vốn Khấu hao tài sản cố định hữu hình Khấu hao tài sản cố định vô hình Khấu hao bất động sản đầu tư,-,-,11.531.577.302,-,-,-,11.531.577.302,,,11531577302.0,,,,11531577302.0
