row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Chênh lệch đánh giá lại tài sản VND,Chênh lệch tỷ giá hối doái VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch đánh giá lại tài sản VND,numeric__Chênh lệch tỷ giá hối doái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày1/1/2022 (mang sang từ trang trước),Số dư tại ngày1/1/2022 (mang sang từ trang trước),Số dư tại ngày1/1/2022 (mang sang từ trang trước),2.351.596.490.000,711.136.556.786,22.906.800.000,-,708.285.511,-,244.289.305.040,65.313.759.426,1.305.280.035.901,1.579.604.809.575,6.280.836.042.239,2351596490000.0,711136556786.0,22906800000.0,,708285511.0,,244289305040.0,65313759426.0,1305280035901.0,1579604809575.0,6280836042239.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),352.733.530.000,-,-,-,-,-,-,-,(352.733.530.000),-,-,352733530000.0,,,,,,,,-352733530000.0,,
Tăng vốn góp tại công ty con,Tăng vốn góp tại công ty con,Tăng vốn góp tại công ty con,-,-,-,-,-,-,-,-,-,97.424.400.000,97.424.400.000,,,,,,,,,,97424400000.0,97424400000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,459.825.388.155,77.106.515.568,536.931.903.723,,,,,,,,,459825388155.0,77106515568.0,536931903723.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,-,(49.074.558.865),(1.422.550.659),(50.497.109.524),,,,,,,,,-49074558865.0,-1422550659.0,-50497109524.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,-,-,16.754.289.769,-,(16.754.289.769),-,-,,,,,,,16754289769.0,,-16754289769.0,,
Trích quỹ bổ sung vốn điều lệ,Trích quỹ bổ sung vốn điều lệ,Trích quỹ bổ sung vốn điều lệ,-,-,-,-,-,-,-,104.400.955,(104.400.955),-,-,,,,,,,,104400955.0,-104400955.0,,
"Phân phố lợi nhuận, chia cổ tức tại công ty con","Phân phố lợi nhuận, chia cổ tức tại công ty con","Phân phố lợi nhuận, chia cổ tức tại công ty con",-,-,6.120.000.000,-,-,-,-,-,(6.120.000.000),(40.002.442.467),(40.002.442.467),,,6120000000.0,,,,,,-6120000000.0,-40002442467.0,-40002442467.0
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,-,-,-,-,-,-,-,-,-,352.316.678.800,352.316.678.800,,,,,,,,,,352316678800.0,352316678800.0
Chênh lệch tỷ giá hồi doái do quy đổi đơn vị tiên tệ báo cáo,Chênh lệch tỷ giá hồi doái do quy đổi đơn vị tiên tệ báo cáo,Chênh lệch tỷ giá hồi doái do quy đổi đơn vị tiên tệ báo cáo,-,-,-,-,-,(116.709.425),-,-,-,-,(116.709.425),,,,,,-116709425.0,,,,,-116709425.0
Tăng/(giám) khác,Tăng/(giám) khác,Tăng/(giám) khác,-,-,-,-,-,-,28.498.142,-,4.214.021.501,(8.389.199.618),(4.146.679.975),,,,,,,28498142.0,,4214021501.0,-8389199618.0,-4146679975.0
Số dư tại ngày 31/12/2022,Số dư tại ngày 31/12/2022,Số dư tại ngày 31/12/2022,2.704.330.020.000,711.136.556.786,29.026.800.000,-,708.285.511,(116.709.425),261.072.092.951,65.418.160.381,1.344.532.665.968,2.056.638.211.199,7.172.746.083.371,2704330020000.0,711136556786.0,29026800000.0,,708285511.0,-116709425.0,261072092951.0,65418160381.0,1344532665968.0,2056638211199.0,7172746083371.0
